Word, Frequency
the, 4437
and, 2292
for, 1523
that, 937
you, 907
this, 754
have, 687
with, 679
imag, 628
are, 590
can, 553
use, 543
from, 493
but, 464
not, 440
file, 394
ani, 389
graphic, 384
will, 376
there, 337
about, 315
program, 313
some, 306
univers, 305
would, 291
has, 270
comput, 269
all, 260
other, 255
which, 250
need, 246
was, 242
get, 241
what, 238
one, 233
know, 230
look, 225
articl, 219
out, 218
also, 214
your, 211
like, 207
system, 198
more, 192
softwar, 191
doe, 189
jpeg, 187
color, 187
just, 185
data, 184
they, 180
how, 176
avail, 174
veri, 167
anyon, 166
point, 165
version, 162
find, 160
run, 159
than, 156
display, 155
line, 155
packag, 154
work, 154
format, 146
want, 145
pleas, 145
onli, 142
inform, 138
where, 137
post, 136
support, 135
then, 130
convert, 129
help, 128
code, 127
read, 126
gif, 125
when, 125
good, 123
new, 122
includ, 121
think, 121
these, 121
could, 121
bit, 120
should, 118
been, 117
thank, 117
send, 116
ftp, 116
it, 114
video, 113
call, 113
set, 110
make, 110
time, 109
into, 108
tri, 108
much, 106
mani, 105
may, 105
number, 102
polygon, 101
user, 100
differ, 100
such, 99
world, 98
librari, 98
two, 98
write, 97
process, 96
problem, 96
their, 95
see, 95
window, 93
free, 90
sourc, 90
under, 88
provid, 88
site, 88
interest, 85
mail, 84
same, 84
object, 84
current, 83
those, 83
them, 83
research, 82
draw, 82
algorithm, 79
routin, 79
take, 78
creat, 78
most, 77
requir, 77
even, 77
digit, 75
lot, 74
few, 74
anim, 73
book, 73
sinc, 72
thing, 72
way, 72
vga, 71
visual, 71
mode, 70
chang, 70
list, 69
were, 68
view, 68
anoth, 68
directori, 68
give, 68
scienc, 67
origin, 67
who, 67
had, 66
check, 66
contain, 66
now, 66
base, 65
got, 65
center, 65
well, 65
fast, 64
over, 64
driver, 64
mac, 64
group, 63
tool, 63
anybodi, 63
tiff, 63
email, 63
cview, 62
both, 62
ray, 62
develop, 62
standard, 62
say, 61
peopl, 61
becaus, 61
type, 61
postscript, 61
card, 61
compress, 60
surfac, 60
model, 60
abl, 60
vesa, 60
info, 60
render, 58
seem, 58
without, 58
viewer, 58
address, 58
between, 57
great, 57
allow, 57
qualiti, 57
function, 57
via, 56
each, 56
refer, 56
first, 56
come, 56
question, 56
follow, 56
tin, 55
someth, 55
our, 55
better, 55
ask, 54
applic, 54
sun, 53
found, 53
here, 53
still, 53
screen, 53
pixel, 52
sgi, 52
save, 52
result, 51
possibl, 51
virtual, 51
newsgroup, 51
last, 51
unix, 51
real, 50
must, 50
analysi, 50
let, 50
kind, 50
per, 50
start, 49
probabl, 49
output, 49
contact, 49
answer, 48
fax, 48
interact, 48
institut, 48
map, 48
box, 48
might, 47
sure, 47
product, 47
littl, 47
design, 47
project, 47
edg, 46
access, 46
pictur, 46
handl, 46
defin, 46
technolog, 46
hardwar, 45
server, 45
quicktim, 45
archiv, 45
tell, 45
written, 45
through, 45
full, 45
mean, 44
disk, 44
frame, 44
around, 44
too, 44
technic, 44
anyth, 44
plot, 44
nice, 44
interfac, 43
form, 43
least, 43
place, 43
public, 43
either, 42
advanc, 42
generat, 42
be, 42
ibm, 42
search, 42
sever, 42
test, 42
best, 42
copi, 42
state, 42
convers, 41
understand, 41
various, 41
note, 41
quit, 41
name, 40
back, 40
nation, 40
abov, 40
year, 40
faq, 40
actual, 40
compil, 39
everi, 39
pretti, 39
messag, 39
hope, 39
far, 39
simpl, 39
util, 39
person, 38
high, 38
own, 38
distribut, 38
dos, 38
machin, 38
rather, 38
someon, 38
right, 38
go, 38
stuff, 37
do, 37
whi, 37
control, 37
plane, 37
intersect, 37
commerci, 37
realiti, 37
direct, 37
page, 37
input, 36
while, 36
resourc, 36
siggraph, 36
part, 36
normal, 36
featur, 36
bitmap, 36
anonym, 36
larg, 35
suggest, 35
manipul, 35
engin, 35
befor, 35
given, 35
space, 35
valu, 35
buy, 34
oper, 34
size, 34
sphere, 34
els, 34
amiga, 33
move, 33
specif, 33
perform, 33
small, 33
materi, 33
week, 33
recent, 33
true, 32
print, 32
sharewar, 32
realli, 32
usa, 32
three, 32
memori, 32
complet, 31
doubl, 31
aspect, 31
mirror, 31
david, 31
store, 31
signific, 31
big, 31
did, 31
mark, 31
old, 31
method, 31
made, 31
paper, 31
special, 31
volum, 31
off, 31
canada, 30
releas, 30
end, 30
john, 30
general, 30
present, 30
case, 30
databas, 30
languag, 30
basic, 30
workstat, 29
discuss, 29
board, 29
turn, 29
level, 29
svga, 29
internet, 29
pov, 29
said, 29
recommend, 28
feel, 28
enough, 28
apr, 28
quantiz, 28
load, 28
after, 28
silicon, 28
robert, 28
document, 28
respons, 28
scientif, 28
never, 28
photoshop, 28
descript, 28
text, 28
learn, 27
news, 27
rayshad, 27
limit, 27
circl, 27
bug, 27
curv, 27
keep, 27
next, 27
determin, 27
select, 27
fractal, 27
offer, 27
error, 27
deal, 27
his, 27
second, 27
reason, 27
order, 27
implement, 27
fit, 27
put, 27
subject, 26
suit, 26
bbs, 26
solut, 26
author, 26
remov, 26
relat, 26
consid, 26
servic, 26
repres, 26
electron, 26
upgrad, 26
lab, 26
seen, 26
play, 26
imagin, 26
power, 26
split, 26
phone, 26
radios, 26
sort, 25
mpeg, 25
open, 25
alreadi, 25
extens, 25
show, 25
mayb, 25
michael, 25
final, 25
similar, 25
almost, 25
idea, 25
locat, 25
temp, 25
depart, 25
compani, 25
bezier, 25
textur, 25
common, 24
environ, 24
though, 24
usual, 24
command, 24
raster, 24
section, 24
movi, 24
obtain, 24
easi, 24
certain, 24
network, 24
signal, 24
further, 24
exact, 24
platform, 24
built, 24
confer, 23
describ, 23
bad, 23
intern, 23
manual, 23
explain, 23
press, 23
due, 23
font, 23
known, 23
speedstar, 23
manag, 23
build, 23
australia, 23
parallel, 23
top, 23
enhanc, 23
adob, 23
improv, 22
speed, 22
heard, 22
within, 22
oti, 22
detect, 22
appear, 22
earth, 22
capabl, 22
import, 22
appreci, 22
jfif, 22
main, 22
rate, 22
fair, 22
demo, 22
coupl, 22
philosoph, 22
mention, 22
suppos, 22
scan, 22
faster, 22
xxxx, 22
purpos, 22
talk, 22
calcul, 22
produc, 22
colleg, 22
licens, 22
wirefram, 22
educ, 22
rumour, 21
detail, 21
drive, 21
posit, 21
client, 21
complex, 21
issu, 21
correct, 21
request, 21
particular, 21
repli, 21
scale, 21
int, 21
wonder, 21
archi, 21
accept, 21
done, 21
colour, 21
texa, 21
whether, 21
minut, 21
titl, 20
illinoi, 20
along, 20
thought, 20
art, 20
effect, 20
den, 20
less, 20
orient, 20
translat, 20
printer, 20
techniqu, 20
compat, 20
fill, 20
devic, 20
steve, 20
geometr, 20
edit, 20
plus, 19
although, 19
leav, 19
down, 19
sequenc, 19
north, 19
simpli, 19
comment, 19
byte, 19
hard, 19
custom, 19
easili, 19
expect, 19
menu, 19
human, 19
measur, 19
took, 19
latest, 19
spline, 19
hear, 19
trace, 19
thus, 19
permiss, 19
whole, 19
cours, 19
port, 19
cost, 19
grass, 19
radius, 19
collect, 19
arm, 18
sell, 18
processor, 18
propos, 18
rgb, 18
dec, 18
net, 18
van, 18
arithmet, 18
previous, 18
hidden, 18
near, 18
san, 18
centr, 18
cad, 18
believ, 18
sale, 18
outlin, 18
smooth, 18
onc, 18
fact, 18
addit, 18
regular, 18
short, 18
distanc, 18
concern, 17
price, 17
macintosh, 17
sphinx, 17
wrong, 17
satellit, 17
yet, 17
guy, 17
pro, 17
integr, 17
nasa, 17
binari, 17
lewi, 17
host, 17
resolut, 17
unit, 17
exampl, 17
option, 17
raytrac, 17
visibl, 17
month, 17
face, 17
market, 17
appli, 17
wide, 17
mind, 17
insid, 17
local, 17
major, 17
graph, 17
receiv, 17
perhap, 17
hand, 17
media, 17
seri, 17
ad, 17
dynam, 16
mathemat, 16
everyth, 16
cannot, 16
four, 16
phig, 16
choic, 16
sound, 16
area, 16
scene, 16
word, 16
necessarili, 16
onlin, 16
express, 16
long, 16
molecular, 16
entir, 16
wrote, 16
fix, 16
remot, 16
alway, 16
transform, 16
filter, 16
sorri, 16
happi, 16
black, 16
noth, 16
unless, 16
close, 16
rang, 16
contour, 16
germani, 16
excel, 15
sent, 15
low, 15
opinion, 15
forum, 15
knowledg, 15
acm, 15
quick, 15
decod, 15
regist, 15
regard, 15
saw, 15
love, 15
assum, 15
assembl, 15
communic, 15
lie, 15
pass, 15
los, 15
consist, 15
prefer, 15
event, 15
captur, 15
exist, 15
quadra, 15
april, 15
grafsi, 15
varieti, 15
equat, 15
live, 15
scodal, 15
aw, 15
automat, 15
figur, 15
specifi, 15
amount, 15
futur, 15
solv, 15
triangul, 15
often, 15
geometri, 15
extend, 15
day, 15
avoid, 15
purchas, 15
western, 15
fortran, 15
delaunay, 14
triangl, 14
favor, 14
came, 14
numer, 14
ellips, 14
share, 14
sean, 14
becom, 14
multimedia, 14
studio, 14
decompress, 14
convex, 14
announc, 14
instal, 14
connect, 14
chicago, 14
against, 14
linux, 14
divis, 14
vector, 14
pascal, 14
coordin, 14
claim, 14
updat, 14
sens, 14
diamond, 14
notic, 14
medic, 14
widget, 14
decid, 14
usenet, 14
structur, 14
worth, 14
station, 14
ever, 14
tom, 14
vertic, 14
eric, 14
easier, 13
across, 13
linear, 13
tracer, 13
modifi, 13
hip, 13
tape, 13
spec, 13
dither, 13
super, 13
higher, 13
advantag, 13
life, 13
five, 13
appl, 13
pick, 13
enter, 13
jame, 13
add, 13
charact, 13
corpor, 13
ascii, 13
ontario, 13
bodi, 13
game, 13
drop, 13
fee, 13
ati, 13
length, 13
grant, 13
troubl, 13
distort, 13
respond, 13
thoma, 13
spatial, 13
among, 13
background, 13
domain, 13
organ, 13
except, 13
slow, 13
maintain, 13
laboratori, 13
finish, 13
gmt, 13
conveni, 13
mountain, 12
exchang, 12
targa, 12
return, 12
lossless, 12
publish, 12
review, 12
utah, 12
nfoti, 12
programm, 12
experi, 12
separ, 12
readm, 12
gray, 12
togeth, 12
stupid, 12
instead, 12
independ, 12
grasp, 12
pointer, 12
rule, 12
clock, 12
plain, 12
hernandez, 12
howev, 12
white, 12
suppli, 12
paul, 12
piec, 12
extern, 12
until, 12
annoy, 12
patch, 12
entri, 12
cpu, 12
compar, 12
industri, 12
happen, 12
shade, 12
guess, 12
header, 12
artist, 12
unfortun, 12
switch, 12
paramet, 12
southern, 12
upon, 12
depend, 12
man, 12
pair, 11
money, 11
rotat, 11
seminar, 11
mcmain, 11
submit, 11
abstract, 11
default, 11
earli, 11
shape, 11
submiss, 11
proper, 11
array, 11
portabl, 11
pci, 11
raw, 11
thanx, 11
singl, 11
park, 11
repeat, 11
path, 11
bound, 11
individu, 11
martin, 11
ving, 11
dave, 11
download, 11
segment, 11
cray, 11
palett, 11
assist, 11
magazin, 11
room, 11
oak, 11
key, 11
reduc, 11
