Word, Frequency
the, 3712
and, 1503
for, 1103
that, 881
window, 856
have, 823
you, 768
with, 700
use, 639
this, 558
but, 494
not, 472
are, 464
file, 438
can, 420
will, 364
ani, 329
from, 324
there, 298
univers, 289
driver, 268
your, 266
run, 257
about, 246
get, 245
has, 244
what, 243
some, 236
like, 233
was, 233
articl, 226
dos, 223
problem, 221
all, 219
know, 212
program, 205
when, 193
which, 193
would, 192
just, 191
doe, 188
one, 179
anyon, 176
tri, 174
card, 170
they, 169
work, 164
how, 161
out, 159
system, 157
need, 153
set, 152
font, 152
other, 152
look, 148
onli, 146
mous, 140
these, 136
had, 135
more, 132
access, 127
comput, 124
than, 123
version, 121
help, 119
new, 119
make, 119
also, 115
want, 114
think, 113
chang, 108
been, 108
disk, 107
pleas, 105
should, 102
veri, 101
call, 98
may, 98
thank, 95
manag, 94
usa, 93
under, 92
printer, 92
good, 90
seem, 90
someth, 89
print, 89
where, 89
microsoft, 88
then, 88
win, 87
them, 86
instal, 86
find, 86
swap, 85
could, 84
same, 83
their, 82
much, 82
memori, 80
video, 79
into, 78
read, 77
softwar, 75
tell, 74
see, 74
got, 71
avail, 71
inform, 71
time, 71
way, 70
who, 70
drive, 69
it, 69
thing, 69
sinc, 68
both, 68
now, 67
even, 67
differ, 66
becaus, 66
engin, 65
machin, 65
diamond, 64
realli, 64
applic, 64
those, 63
two, 62
support, 62
still, 62
come, 61
mani, 61
risc, 60
ftp, 60
number, 60
question, 59
first, 59
without, 59
post, 58
util, 58
start, 58
world, 57
over, 57
here, 57
part, 57
mail, 57
each, 57
mode, 57
sure, 56
alloc, 56
give, 56
check, 56
instruct, 55
after, 55
say, 55
includ, 55
control, 54
hope, 54
group, 54
copi, 54
creat, 54
anybodi, 53
ati, 53
screen, 53
peopl, 53
charact, 53
size, 52
graphic, 52
few, 52
take, 52
data, 52
whi, 51
load, 50
user, 50
link, 49
unit, 49
right, 49
most, 49
mean, 49
messag, 49
someon, 49
latest, 48
allow, 48
move, 48
icon, 47
such, 47
state, 47
sound, 47
download, 47
type, 47
seen, 47
hard, 47
directori, 47
found, 46
name, 46
line, 46
select, 46
upgrad, 45
network, 45
buy, 45
turn, 45
around, 45
product, 44
well, 44
display, 44
never, 44
paradox, 44
technolog, 43
better, 42
cross, 42
go, 42
while, 42
actual, 41
text, 41
keep, 41
possibl, 41
error, 41
desktop, 40
els, 40
develop, 40
ram, 40
borland, 40
correct, 40
space, 40
through, 40
end, 40
next, 40
deskjet, 40
anoth, 39
email, 39
byte, 39
norton, 39
abl, 39
delet, 39
off, 39
small, 39
current, 39
color, 38
updat, 38
lot, 38
back, 37
probabl, 37
site, 37
workspac, 37
wonder, 37
address, 37
fax, 36
either, 36
list, 36
own, 36
sever, 36
too, 36
option, 35
whether, 35
our, 35
send, 35
sometim, 35
serial, 35
follow, 34
let, 34
last, 34
might, 34
word, 34
least, 34
high, 34
public, 34
truetyp, 33
provid, 33
standard, 33
research, 33
tin, 33
write, 33
replac, 33
meg, 33
person, 33
compress, 33
servic, 33
code, 33
quit, 33
did, 33
must, 33
rememb, 33
canada, 33
bbs, 32
great, 32
befor, 32
littl, 32
exit, 32
app, 32
unix, 32
box, 32
switch, 32
librari, 32
were, 32
best, 32
believ, 32
resolut, 32
port, 31
gateway, 31
everi, 31
experi, 31
between, 31
hardwar, 31
idea, 31
opinion, 31
recent, 31
abov, 31
scienc, 31
suggest, 31
packag, 31
real, 30
alway, 30
anyth, 30
communic, 30
releas, 30
novel, 30
server, 30
bmp, 30
base, 30
ask, 30
do, 30
open, 29
appreci, 29
edit, 29
info, 29
caus, 29
bit, 29
down, 29
rate, 29
modem, 29
ultra, 29
full, 29
requir, 29
happen, 29
old, 29
free, 29
rather, 29
general, 29
complet, 28
everyth, 28
mathcad, 28
fix, 28
featur, 28
less, 28
winbench, 28
suppos, 28
databas, 28
notic, 27
cursor, 27
mayb, 27
said, 27
result, 27
imag, 27
