Word, Frequency
the, 4785
and, 1918
for, 1161
that, 990
with, 983
have, 839
you, 749
this, 705
drive, 700
use, 610
are, 541
not, 494
can, 462
but, 433
scsi, 422
ani, 376
from, 375
get, 359
will, 333
has, 324
card, 322
one, 314
control, 301
would, 294
disk, 293
what, 292
system, 277
ide, 275
all, 272
there, 268
about, 264
was, 257
when, 255
hard, 251
your, 249
just, 248
doe, 245
know, 237
univers, 236
which, 225
like, 219
they, 210
onli, 210
work, 209
articl, 205
some, 202
problem, 196
need, 196
other, 192
bus, 191
how, 190
comput, 188
run, 187
set, 179
than, 176
also, 170
anyon, 169
out, 167
support, 162
time, 159
tri, 158
two, 155
data, 155
more, 148
pleas, 141
floppi, 141
driver, 140
tape, 139
port, 137
new, 136
isa, 135
could, 135
monitor, 133
window, 132
bio, 131
jumper, 130
these, 129
thank, 128
want, 127
help, 127
had, 126
board, 124
dos, 123
should, 118
make, 116
think, 116
then, 114
speed, 113
memori, 112
becaus, 112
same, 112
look, 111
instal, 110
program, 109
been, 105
much, 104
video, 102
call, 101
into, 100
off, 100
buy, 97
softwar, 97
seem, 95
gateway, 94
read, 93
mode, 93
switch, 93
differ, 93
veri, 92
transfer, 92
come, 91
motherboard, 91
their, 91
boot, 89
them, 88
may, 87
even, 87
who, 87
good, 86
where, 86
got, 85
access, 84
chip, 83
local, 83
rom, 83
machin, 82
number, 82
thing, 81
ibm, 79
pin, 79
bit, 78
vlb, 78
both, 77
give, 76
way, 76
connect, 76
whi, 75
interfac, 75
adaptec, 74
world, 72
those, 71
usa, 71
file, 70
after, 70
most, 70
devic, 69
featur, 69
ram, 69
sinc, 69
tell, 68
peopl, 67
realli, 67
find, 67
now, 67
includ, 67
abl, 67
someon, 66
high, 66
simm, 66
question, 66
better, 66
power, 66
anoth, 66
take, 65
without, 65
info, 65
state, 65
it, 65
backup, 64
master, 64
hardwar, 63
someth, 63
must, 63
might, 63
modem, 62
tin, 62
address, 62
back, 62
follow, 62
first, 61
while, 61
cpu, 61
possibl, 60
irq, 60
mani, 60
did, 60
over, 60
say, 60
standard, 60
western, 60
see, 60
rate, 58
dma, 58
go, 58
chang, 58
right, 57
fast, 57
sound, 56
post, 56
slave, 56
check, 56
allow, 56
sure, 56
still, 55
such, 55
serial, 55
copi, 55
note, 54
second, 54
upgrad, 54
were, 54
meg, 53
mous, 53
test, 53
connector, 53
vga, 53
type, 52
start, 52
eisa, 52
ati, 52
format, 52
through, 51
between, 51
head, 51
anybodi, 50
send, 50
option, 50
error, 50
version, 49
mac, 49
screen, 49
singl, 49
vesa, 49
cach, 49
digit, 48
recent, 48
under, 48
anyth, 48
technolog, 48
configur, 48
either, 48
probabl, 48
mean, 48
nec, 48
wait, 47
avail, 47
case, 46
ask, 46
well, 46
talk, 46
everyth, 46
put, 46
here, 46
caus, 46
write, 45
seen, 45
too, 45
apr, 45
diamond, 45
heard, 45
perform, 45
down, 45
great, 44
research, 44
opinion, 44
oper, 44
via, 43
compani, 43
interrupt, 43
old, 43
bought, 43
spec, 43
order, 43
faster, 43
least, 43
current, 43
few, 42
cabl, 42
inform, 42
maxtor, 42
best, 42
around, 42
last, 42
own, 41
graphic, 40
point, 40
alreadi, 40
actual, 40
esdi, 40
cmos, 40
origin, 39
slow, 39
let, 39
never, 38
intern, 38
main, 38
littl, 38
messag, 37
email, 37
vote, 37
said, 37
lot, 37
notic, 37
repli, 37
believ, 37
came, 36
texa, 36
turn, 36
kind, 36
hear, 36
long, 36
yes, 36
institut, 36
pro, 36
his, 36
plug, 36
date, 35
part, 35
slot, 35
be, 35
idea, 35
engin, 35
color, 35
day, 35
unix, 34
requir, 34
mayb, 34
size, 34
done, 34
harddisk, 34
limit, 34
found, 34
product, 34
servic, 34
orchid, 33
seagat, 33
everi, 33
list, 33
group, 33
mfm, 33
each, 33
price, 33
pretti, 33
end, 32
model, 32
direct, 32
appreci, 32
manag, 32
keep, 31
enabl, 31
box, 31
quantum, 31
show, 31
interest, 31
advanc, 31
close, 31
handl, 31
cost, 31
happen, 31
line, 30
mail, 30
bad, 30
load, 30
ultra, 30
fix, 30
befor, 30
user, 30
light, 30
compat, 30
applic, 30
john, 30
abov, 29
consid, 29
purchas, 29
contain, 29
com, 29
comment, 29
far, 29
asynchron, 29
move, 29
cannot, 29
compar, 28
normal, 28
add, 28
sector, 28
recommend, 28
figur, 28
told, 28
tech, 28
provid, 28
els, 28
select, 27
friend, 27
clock, 27
led, 27
month, 27
hope, 27
share, 27
whether, 27
mine, 27
communic, 27
sever, 27
setup, 27
extern, 27
wire, 27
conner, 27
manual, 27
replac, 26
do, 26
adapt, 26
experi, 26
creat, 26
real, 26
simpli, 26
suggest, 26
reason, 26
open, 26
turbo, 26
exist, 26
correct, 26
nice, 26
answer, 26
until, 25
intel, 25
solut, 25
thought, 25
although, 25
rang, 25
wonder, 25
refer, 25
joystick, 25
similar, 25
except, 25
network, 25
remov, 25
larg, 25
big, 25
low, 24
depart, 24
mark, 24
report, 24
full, 24
printer, 24
choic, 24
save, 24
scienc, 24
cdrom, 24
sell, 24
toshiba, 24
conflict, 24
unless, 23
result, 23
david, 23
four, 23
burst, 23
robert, 23
claim, 23
austin, 23
soni, 23
magazin, 23
default, 23
michael, 23
refresh, 23
key, 23
plus, 23
specif, 23
place, 23
jumbo, 23
love, 23
increas, 23
level, 23
almost, 23
ftp, 22
quick, 22
leav, 22
warranti, 22
resolut, 22
noth, 22
explain, 22
alway, 22
track, 22
stealth, 22
wide, 22
expect, 22
express, 22
mag, 21
svga, 21
manufactur, 21
phone, 21
name, 21
hook, 21
play, 21
year, 21
suppli, 21
tabl, 21
respons, 21
game, 21
imag, 21
function, 21
reserv, 21
ad, 21
onc, 21
develop, 21
zeo, 21
three, 21
qualiti, 20
nanao, 20
quit, 20
twice, 20
our, 20
school, 20
goe, 20
partit, 20
uart, 20
him, 20
left, 20
per, 20
person, 20
keyboard, 20
higher, 20
slower, 20
micron, 20
made, 20
sourc, 20
int, 20
technic, 20
coupl, 19
colleg, 19
sometim, 19
mhz, 19
canada, 19
third, 19
fine, 19
pay, 19
maximum, 19
true, 19
exact, 19
command, 19
build, 19
review, 19
gmt, 19
next, 19
byte, 19
rll, 19
acceler, 19
pariti, 19
small, 19
complet, 19
brand, 19
bbs, 19
mike, 19
bank, 18
understand, 18
usual, 18
ethernet, 18
suppos, 18
display, 18
dual, 18
extra, 18
microsoft, 18
interleav, 18
australia, 18
general, 18
less, 18
rather, 18
ever, 18
compaq, 18
stephen, 17
document, 17
receiv, 17
due, 17
cyl, 17
lower, 17
worth, 17
swap, 17
perhap, 17
compress, 17
total, 17
went, 17
ami, 17
fax, 17
though, 17
guess, 17
rememb, 17
troubl, 17
saw, 17
colorado, 17
assum, 17
built, 17
wrong, 17
cylind, 17
hold, 17
word, 17
ncr, 17
hang, 16
custom, 16
cover, 16
dealer, 16
ran, 16
depend, 16
lock, 16
term, 16
fact, 16
bug, 16
accept, 16
enough, 16
dure, 16
common, 16
print, 16
richard, 16
money, 16
packag, 16
return, 16
given, 16
nation, 15
certain, 15
viper, 15
blaster, 15
togeth, 15
design, 15
fail, 15
exampl, 15
parallel, 15
buffer, 15
continu, 15
amd, 15
dram, 15
advic, 15
mention, 15
norton, 15
store, 15
instead, 15
regist, 15
newsgroup, 15
free, 15
becom, 15
addit, 15
hand, 15
again, 15
issu, 15
chipset, 15
stuff, 15
written, 15
sale, 15
base, 15
major, 14
factori, 14
older, 14
valu, 14
dip, 14
expens, 14
vertic, 14
soundblast, 14
