Word, Frequency
the, 4651
and, 1644
for, 1044
that, 941
with, 812
have, 749
you, 657
this, 601
but, 479
are, 468
not, 462
mac, 452
can, 429
use, 426
from, 372
appl, 330
get, 305
has, 301
what, 299
one, 298
about, 287
would, 278
they, 278
will, 275
ani, 263
univers, 250
there, 248
know, 242
problem, 239
some, 239
all, 223
drive, 223
doe, 214
was, 214
like, 210
articl, 207
onli, 199
work, 196
just, 193
out, 187
when, 186
which, 185
system, 184
new, 177
comput, 167
card, 166
need, 166
anyon, 165
your, 161
had, 152
monitor, 148
simm, 146
scsi, 145
how, 143
quadra, 141
more, 139
could, 139
want, 138
make, 137
other, 134
than, 132
color, 130
think, 126
video, 125
memori, 123
centri, 120
power, 113
same, 113
sound, 111
speed, 111
tri, 110
duo, 110
run, 109
disk, 109
been, 108
hard, 107
intern, 107
ram, 106
price, 106
machin, 105
also, 103
should, 101
buy, 100
differ, 99
chip, 97
two, 97
these, 97
nubus, 96
pleas, 96
then, 95
it, 95
veri, 94
into, 94
softwar, 94
both, 91
good, 91
time, 91
sinc, 90
thank, 90
their, 90
upgrad, 89
got, 88
look, 88
data, 88
much, 87
post, 87
them, 86
seem, 85
hardwar, 85
someon, 83
even, 83
come, 82
most, 82
world, 81
instal, 80
call, 80
modem, 80
way, 80
who, 77
number, 77
board, 76
usa, 76
connect, 76
realli, 76
between, 75
may, 75
clock, 75
vram, 74
powerbook, 74
access, 73
cabl, 73
say, 72
becaus, 72
whi, 70
find, 69
screen, 68
set, 68
thing, 68
bit, 67
where, 66
line, 65
question, 65
put, 65
go, 64
tell, 64
peopl, 64
take, 64
support, 64
help, 63
cpu, 63
meg, 63
pds, 62
back, 62
cach, 62
serial, 62
after, 61
heard, 61
sure, 61
abl, 60
someth, 60
iisi, 59
program, 59
first, 59
case, 59
order, 59
port, 58
write, 57
over, 57
right, 57
were, 56
week, 56
extern, 56
driver, 55
anoth, 55
print, 55
mani, 55
fpu, 55
macintosh, 54
such, 53
powerpc, 53
info, 53
while, 53
version, 52
replac, 52
interest, 52
requir, 52
might, 52
those, 51
still, 51
give, 51
state, 51
origin, 50
engin, 50
servic, 50
slot, 50
chang, 50
acceler, 50
each, 49
see, 49
through, 49
control, 49
must, 49
fix, 49
ibm, 49
read, 49
too, 49
mous, 49
mean, 48
standard, 48
allow, 48
printer, 48
seen, 47
devic, 47
place, 47
lciii, 46
plus, 46
processor, 46
keyboard, 46
never, 46
inform, 46
includ, 46
turn, 46
apr, 46
network, 46
without, 45
send, 45
adb, 45
last, 45
few, 45
switch, 45
now, 45
part, 45
vga, 44
adapt, 44
mention, 44
purchas, 44
bad, 44
kind, 44
technolog, 44
year, 43
window, 43
sell, 43
institut, 43
gmt, 43
remov, 43
around, 43
design, 43
box, 43
mhz, 42
pin, 42
here, 42
better, 42
messag, 41
well, 41
littl, 41
old, 41
off, 41
plug, 41
opinion, 41
possibl, 40
option, 40
lot, 40
display, 39
best, 39
anyth, 39
perform, 39
experi, 39
file, 39
hope, 39
fax, 38
own, 38
manag, 38
recent, 38
down, 38
cannot, 37
ask, 37
fast, 37
left, 37
reason, 37
faster, 37
cartridg, 37
ethernet, 37
floppi, 37
avail, 36
told, 36
rom, 36
check, 36
least, 35
be, 35
next, 35
probabl, 35
point, 35
