Word, Frequency
the, 7704
and, 2729
for, 1645
that, 1261
this, 1168
you, 1114
use, 1050
with, 990
are, 962
have, 815
not, 790
can, 762
window, 757
from, 689
file, 597
your, 545
but, 520
which, 459
will, 458
get, 456
program, 451
ani, 421
how, 394
widget, 371
what, 368
run, 367
when, 362
server, 341
some, 335
all, 332
entri, 330
has, 329
there, 328
one, 317
set, 314
applic, 307
should, 306
like, 305
other, 298
would, 284
avail, 273
motif, 267
need, 263
also, 256
doe, 256
work, 256
about, 254
version, 253
includ, 247
problem, 232
tri, 232
may, 225
where, 223
sourc, 221
know, 218
call, 217
line, 214
look, 213
system, 211
was, 210
display, 210
they, 209
support, 203
make, 202
onli, 201
more, 199
articl, 198
code, 194
new, 192
follow, 191
these, 190
manag, 190
inform, 187
into, 185
then, 184
just, 182
pleas, 178
sun, 178
open, 174
function, 172
univers, 166
user, 165
want, 164
name, 164
than, 162
number, 162
write, 161
send, 161
client, 160
xterm, 159
color, 159
same, 158
resourc, 157
out, 153
compil, 153
creat, 152
build, 150
chang, 148
event, 148
read, 145
most, 145
time, 144
find, 143
help, 142
way, 142
comput, 142
list, 142
been, 140
return, 140
under, 138
it, 138
softwar, 136
char, 136
current, 136
see, 135
must, 134
first, 132
anyon, 130
whi, 128
thank, 127
could, 126
start, 125
question, 124
error, 122
output, 122
size, 122
give, 120
mani, 119
implement, 117
provid, 115
each, 115
font, 114
xlib, 114
becaus, 114
such, 112
post, 112
valu, 111
email, 111
differ, 110
sever, 110
type, 109
draw, 109
seem, 108
int, 106
someth, 106
sure, 104
key, 103
convert, 103
mail, 101
memori, 100
toolkit, 100
graphic, 99
section, 98
contain, 98
default, 98
contest, 98
messag, 98
while, 97
mit, 96
interfac, 95
librari, 93
much, 92
info, 92
part, 92
over, 92
check, 92
distribut, 91
case, 91
input, 91
now, 91
two, 91
string, 90
internet, 90
requir, 90
screen, 90
their, 90
found, 89
bit, 88
standard, 88
machin, 88
thing, 87
data, 86
both, 86
offer, 85
them, 85
releas, 84
anoth, 84
patch, 84
binari, 84
think, 84
veri, 84
after, 83
unix, 83
pixmap, 83
note, 82
put, 82
multipl, 82
group, 81
via, 81
rule, 81
directori, 80
specif, 80
imag, 80
allow, 80
sinc, 79
packag, 78
expos, 78
peopl, 77
take, 77
process, 77
possibl, 77
share, 77
test, 76
copi, 76
visual, 76
without, 76
world, 75
colormap, 74
our, 74
suggest, 74
fix, 74
befor, 74
titl, 73
ftp, 73
be, 73
those, 73
format, 73
text, 72
long, 71
answer, 70
address, 70
had, 69
show, 69
charact, 69
base, 69
termin, 69
command, 69
apr, 69
ask, 69
author, 68
mean, 67
right, 67
obfusc, 66
specifi, 66
develop, 66
openwindow, 66
request, 66
who, 65
good, 65
faq, 65
through, 65
year, 64
cannot, 64
instal, 63
even, 63
obtain, 63
echo, 63
might, 63
order, 63
load, 63
tell, 63
appear, 63
keyboard, 62
avoid, 62
export, 62
move, 62
best, 62
perform, 61
were, 61
modifi, 61
between, 61
intern, 61
link, 61
state, 61
stream, 61
particular, 60
done, 60
research, 60
product, 60
say, 59
probabl, 59
actual, 59
mous, 59
uuencod, 58
network, 58
suno, 58
do, 58
simpl, 57
shell, 57
receiv, 57
document, 57
postscript, 57
here, 56
given, 56
correct, 56
handl, 56
select, 56
tool, 56
limit, 56
button, 55
better, 55
realli, 55
add, 55
similar, 55
access, 54
caus, 54
exampl, 54
ad, 54
abl, 54
public, 54
point, 54
configur, 54
symbol, 54
produc, 53
variabl, 53
cursor, 53
option, 53
remark, 53
got, 53
handler, 53
previous, 53
place, 53
let, 52
typic, 52
still, 52
determin, 52
abov, 52
exist, 52
defin, 51
come, 51
pointer, 51
interest, 51
connect, 51
special, 51
local, 51
extens, 51
anonym, 50
own, 50
anybodi, 50
did, 50
alreadi, 50
fail, 50
too, 50
contact, 50
refer, 50
institut, 50
someon, 49
written, 49
reason, 49
result, 49
xdm, 49
xview, 49
posit, 49
either, 48
space, 48
around, 48
object, 48
singl, 48
box, 48
pixel, 47
generat, 47
icon, 47
next, 47
free, 46
hardwar, 46
sparc, 46
david, 46
alway, 46
oper, 46
andrew, 45
scienc, 45
complet, 45
sampl, 45
great, 45
second, 45
els, 45
until, 45
class, 45
undefin, 44
imak, 44
accept, 44
back, 44
featur, 44
updat, 43
lot, 43
relat, 43
direct, 43
origin, 43
app, 43
well, 43
date, 43
execut, 43
dialog, 42
gmt, 42
routin, 42
attempt, 42
keep, 42
depend, 42
protocol, 41
general, 41
off, 41
sequenc, 41
cours, 41
last, 41
pass, 40
design, 40
