Word, Frequency
the, 1760
for, 1556
and, 1243
you, 500
with, 483
have, 420
are, 364
this, 306
sale, 305
all, 291
univers, 283
that, 267
will, 266
new, 246
not, 231
use, 213
your, 201
but, 185
pleas, 183
dos, 180
comput, 176
includ, 170
sell, 164
can, 158
ask, 156
offer, 156
one, 153
has, 150
good, 147
from, 146
usa, 146
game, 144
ship, 138
like, 136
get, 135
system, 129
price, 128
ani, 121
would, 121
they, 118
best, 116
email, 115
drive, 114
work, 113
veri, 112
make, 110
each, 108
origin, 107
need, 107
look, 107
disk, 107
excel, 105
these, 104
call, 104
was, 100
some, 99
send, 98
softwar, 97
state, 97
list, 96
out, 95
onli, 94
want, 91
more, 91
just, 89
mail, 89
about, 85
interest, 84
power, 83
hard, 82
book, 81
card, 78
also, 74
control, 74
than, 74
them, 73
follow, 73
year, 72
what, 72
who, 70
manual, 70
other, 69
packag, 68
world, 67
come, 67
know, 67
been, 66
great, 66
post, 62
cover, 62
tape, 62
car, 61
window, 61
trade, 61
which, 61
box, 60
pay, 59
item, 58
condit, 58
case, 58
time, 57
never, 56
old, 56
printer, 56
brand, 55
articl, 55
model, 55
engin, 55
there, 55
repli, 54
video, 53
both, 53
take, 53
phone, 53
modem, 52
back, 51
copi, 51
contact, 51
unit, 51
stereo, 51
doe, 51
over, 50
two, 50
ibm, 49
those, 49
still, 49
buy, 48
plus, 47
floppi, 47
meg, 46
servic, 46
purchas, 45
colleg, 44
first, 43
abov, 43
monitor, 43
board, 43
sound, 42
digit, 42
may, 42
annual, 42
had, 42
access, 41
forsal, 41
avail, 41
comic, 41
soni, 41
paid, 40
lot, 40
month, 40
most, 40
got, 40
color, 39
how, 39
full, 39
here, 39
complet, 38
free, 38
ohio, 38
let, 38
pictur, 38
inform, 38
must, 37
graphic, 37
intern, 37
speaker, 37
realli, 37
when, 37
less, 36
address, 36
set, 36
ram, 36
find, 36
thank, 36
mani, 35
peopl, 35
program, 35
consid, 35
run, 35
north, 35
radio, 35
their, 35
remot, 34
amiga, 34
high, 34
then, 34
machin, 33
equip, 33
into, 33
black, 33
institut, 33
unix, 33
super, 33
titl, 32
could, 32
hous, 32
upgrad, 32
memori, 32
issu, 32
john, 32
now, 32
print, 32
stuff, 32
cds, 31
miss, 31
cabl, 31
receiv, 31
public, 31
reason, 31
bought, 31
research, 31
home, 30
part, 30
play, 30
support, 30
thing, 30
ticket, 30
electron, 30
own, 30
mpc, 30
perfect, 30
cost, 30
fax, 30
motherboard, 30
number, 29
much, 29
well, 29
nice, 29
extern, 28
person, 28
without, 28
center, 28
obo, 28
motorola, 28
bid, 28
even, 28
util, 27
base, 27
port, 27
scienc, 27
apr, 27
compat, 27
money, 27
respond, 27
larg, 27
buyer, 27
give, 27
busi, 26
through, 26
room, 26
last, 26
direct, 26
suppli, 26
record, 26
small, 26
keyboard, 26
current, 26
right, 26
compani, 26
version, 26
deal, 25
sega, 25
player, 25
front, 25
line, 25
per, 25
app, 25
scsi, 25
mile, 25
edit, 25
channel, 25
leav, 25
sinc, 25
test, 25
purdu, 25
size, 25
littl, 25
save, 24
geoffrey, 24
think, 24
standard, 24
catalog, 24
internet, 24
around, 24
three, 24
genesi, 24
anyon, 24
check, 24
off, 24
instal, 24
star, 24
everyth, 24
appear, 24
order, 24
day, 24
master, 23
express, 23
hulk, 23
becaus, 23
network, 23
messag, 23
someon, 23
custom, 23
least, 23
watt, 23
onlin, 23
tri, 23
featur, 23
user, 23
file, 23
sold, 23
worth, 22
mint, 22
unless, 22
open, 22
problem, 22
his, 22
page, 22
guid, 22
came, 22
same, 22
disc, 22
either, 22
it, 22
friend, 22
near, 22
baud, 22
local, 22
otherwis, 22
were, 22
space, 22
anoth, 22
technolog, 22
live, 22
singl, 22
see, 21
ghost, 21
wolverin, 21
him, 21
way, 21
should, 21
word, 21
data, 21
hotel, 21
movi, 21
junk, 21
after, 21
befor, 21
uccxkvb, 21
under, 21
david, 21
write, 21
camera, 21
whole, 21
intel, 21
mark, 21
ide, 21
carolina, 21
mount, 21
fair, 21
modul, 21
product, 20
long, 20
virginia, 20
vga, 20
batteri, 20
amaz, 20
move, 20
area, 20
collect, 20
portabl, 20
display, 20
michael, 20
music, 20
adapt, 20
made, 20
light, 20
deck, 20
such, 20
art, 20
accept, 20
letter, 20
generat, 19
cheap, 19
norton, 19
go, 19
appl, 19
updat, 19
too, 19
bit, 19
green, 19
oper, 19
where, 19
communic, 19
via, 19
serial, 19
reserv, 19
prefer, 19
western, 19
microsoft, 19
len, 19
answer, 18
say, 18
net, 18
voic, 18
chip, 18
respons, 18
sun, 18
pair, 18
advanc, 18
dual, 18
design, 18
mutant, 18
document, 18
few, 18
general, 18
big, 18
hiram, 18
cod, 18
connect, 18
extra, 18
speed, 18
marvel, 17
panason, 17
opinion, 17
battl, 17
type, 17
name, 17
magazin, 17
next, 17
refer, 17
slot, 17
provid, 17
man, 17
four, 17
electr, 17
class, 17
built, 17
laser, 17
advertis, 17
develop, 17
process, 17
note, 17
tell, 17
keep, 16
citi, 16
major, 16
trek, 16
our, 16
famili, 16
fulli, 16
san, 16
whi, 16
band, 16
cassett, 16
hold, 16
real, 16
dragon, 16
flight, 16
place, 16
total, 16
highest, 16
miller, 16
love, 16
poster, 16
rate, 16
head, 16
war, 16
metal, 16
end, 16
amp, 16
air, 15
rider, 15
pack, 15
put, 15
summer, 15
author, 15
adventur, 15
return, 15
recent, 15
brook, 15
rom, 15
depart, 15
incred, 15
jack, 15
regular, 15
registr, 15
florida, 15
everi, 15
mac, 15
clv, 15
librari, 15
addit, 15
nintendo, 15
hour, 15
audio, 15
laptop, 15
york, 15
commerci, 15
owner, 15
latest, 15
week, 15
gold, 14
anyth, 14
chemistri, 14
blue, 14
men, 14
seri, 14
someth, 14
basebal, 14
gmt, 14
texa, 14
info, 14
airlin, 14
rack, 14
up, 14
vhs, 14
corpor, 14
start, 14
rid, 14
hardwar, 14
iii, 14
input, 14
correct, 14
soft, 14
fit, 14
expans, 14
ad, 14
extend, 14
help, 14
spiderman, 14
level, 14
basic, 14
dark, 14
format, 14
anim, 14
allow, 13
carri, 13
gre, 13
academ, 13
lee, 13
roll, 13
except, 13
mayb, 13
vcr, 13
offic, 13
turbo, 13
cut, 13
fine, 13
denver, 13
effect, 13
differ, 13
paper, 13
half, 13
sent, 13
below, 13
amplifi, 13
delawar, 13
fast, 13
travel, 13
classic, 13
done, 13
park, 13
encyclopedia, 13
cours, 13
