Word, Frequency
the, 5911
and, 2201
that, 1327
you, 1153
for, 1131
have, 911
are, 812
car, 808
with, 692
this, 653
not, 629
they, 622
but, 599
was, 581
about, 442
would, 421
articl, 415
your, 374
get, 371
can, 370
all, 365
ani, 363
out, 343
has, 335
from, 328
there, 321
just, 321
will, 305
like, 300
what, 291
use, 288
one, 285
than, 275
when, 270
some, 262
more, 246
had, 243
good, 238
think, 222
univers, 222
look, 209
other, 208
been, 205
were, 203
much, 202
drive, 201
new, 199
how, 199
their, 190
engin, 185
time, 184
onli, 183
know, 182
make, 176
may, 175
who, 173
veri, 172
which, 172
should, 169
want, 169
these, 162
them, 155
usa, 148
dealer, 144
realli, 143
could, 142
oil, 142
buy, 139
peopl, 138
becaus, 137
doe, 137
most, 136
year, 134
also, 132
need, 131
back, 129
take, 128
even, 128
anyon, 126
same, 125
into, 125
then, 124
whi, 124
where, 123
price, 122
see, 121
thing, 120
speed, 116
driver, 113
those, 113
it, 111
too, 110
after, 109
off, 109
brake, 108
chang, 108
over, 105
problem, 105
say, 104
right, 101
better, 100
got, 99
put, 99
still, 97
never, 97
come, 96
mani, 96
two, 95
work, 95
did, 94
differ, 92
go, 92
ford, 92
call, 91
tri, 90
lot, 89
light, 88
someon, 88
while, 87
littl, 87
way, 87
auto, 87
design, 86
few, 85
system, 85
down, 85
tire, 85
his, 84
turn, 84
last, 84
around, 82
anoth, 80
part, 80
high, 79
power, 79
own, 79
without, 78
road, 78
pleas, 77
state, 77
question, 76
reason, 76
check, 76
sinc, 75
everi, 75
first, 75
here, 75
saturn, 75
model, 74
find, 74
pay, 74
best, 72
enough, 72
happen, 72
front, 71
list, 71
comput, 70
old, 70
said, 70
under, 70
someth, 70
sure, 69
probabl, 69
automot, 69
mile, 68
long, 68
cost, 68
seem, 68
through, 67
now, 67
such, 67
read, 67
give, 67
number, 66
consid, 66
convert, 66
world, 66
bought, 66
quit, 66
owner, 65
post, 65
kill, 64
between, 64
keep, 64
point, 64
both, 63
toyota, 63
big, 63
great, 62
radar, 62
start, 61
befor, 61
wheel, 61
well, 61
interest, 61
vehicl, 60
insur, 60
ask, 60
sell, 60
our, 59
perform, 59
replac, 59
left, 58
ever, 58
feel, 58
side, 58
instal, 57
run, 57
automat, 57
honda, 57
went, 56
stop, 55
month, 55
might, 54
small, 54
do, 53
sho, 53
real, 53
base, 52
told, 52
fast, 52
compani, 51
inform, 51
sever, 50
made, 50
anyth, 50
hard, 50
test, 50
heard, 50
bad, 50
manual, 50
be, 49
thought, 49
actual, 49
place, 48
love, 48
next, 48
sport, 48
tell, 48
shift, 48
believ, 48
mean, 47
day, 47
group, 47
request, 47
pretti, 47
rate, 47
hand, 47
opinion, 47
she, 47
rear, 46
move, 46
servic, 46
mail, 46
sound, 46
previous, 46
experi, 46
fuel, 46
name, 46
let, 46
kind, 46
set, 45
guy, 45
mustang, 45
dumbest, 45
case, 45
must, 44
door, 44
saw, 44
help, 44
handl, 44
less, 43
mechan, 43
concept, 42
discuss, 42
manufactur, 42
earli, 42
transmiss, 42
rather, 42
limit, 41
either, 41
seen, 41
person, 41
corpor, 41
line, 41
found, 41
general, 41
figur, 40
top, 40
alway, 40
integra, 40
away, 40
fact, 40
kid, 40
nice, 40
illinoi, 39
report, 39
rock, 39
local, 39
wait, 39
wagon, 39
live, 39
drain, 39
thank, 39
control, 38
nissan, 38
open, 38
certain, 38
quick, 38
deal, 38
gas, 38
driven, 38
guess, 38
detector, 38
direct, 37
sale, 37
hope, 37
current, 37
hell, 37
institut, 37
market, 37
least, 37
far, 37
oper, 37
area, 37
talk, 37
gear, 36
includ, 36
decid, 36
air, 36
center, 36
mayb, 36
care, 36
idea, 36
expect, 36
import, 36
texa, 35
bit, 35
end, 35
took, 35
coupl, 35
wonder, 35
remov, 35
stick, 35
show, 35
ago, 35
key, 35
near, 34
though, 34
mount, 34
life, 34
money, 34
els, 34
water, 34
compar, 33
polic, 33
chevi, 33
block, 33
taurus, 33
worth, 33
stupid, 33
traffic, 33
valu, 33
bmw, 33
hit, 33
blah, 33
mind, 32
add, 32
dure, 32
agre, 32
exact, 32
mention, 32
until, 32
electron, 32
fix, 32
him, 32
clutch, 31
usual, 31
respons, 31
turbo, 31
addit, 31
head, 31
sit, 31
info, 31
friend, 31
almost, 31
behind, 31
damag, 31
low, 31
type, 31
window, 31
steer, 31
recent, 31
product, 30
pass, 30
dodg, 30
cover, 30
serious, 30
sensor, 30
whether, 30
sold, 30
standard, 30
forget, 30
normal, 30
slow, 30
pull, 30
lock, 30
each, 30
ride, 29
watch, 29
nation, 29
instead, 29
often, 29
full, 29
hear, 29
send, 29
cours, 29
aftermarket, 29
seat, 29
pick, 29
save, 29
mazda, 29
torqu, 29
goe, 29
profit, 28
rememb, 28
caus, 28
mileag, 28
clean, 28
spend, 28
extra, 28
higher, 28
consum, 28
avail, 28
week, 28
abl, 28
accid, 27
research, 27
plug, 27
highway, 27
drove, 27
drop, 27
pocket, 27
possibl, 27
magazin, 27
volvo, 27
follow, 27
human, 27
lower, 27
repair, 27
three, 27
probe, 27
wife, 26
email, 26
liter, 26
condit, 26
unit, 26
later, 26
per, 26
odomet, 26
except, 26
term, 26
automobil, 26
truck, 26
typic, 26
note, 26
particular, 26
everyth, 26
done, 26
suggest, 26
four, 25
slight, 25
law, 25
buick, 25
within, 25
mark, 25
close, 25
entir, 25
stuff, 25
valv, 25
onc, 25
