Word, Frequency
the, 5474
and, 2001
that, 1221
for, 947
have, 761
was, 673
but, 657
this, 650
with, 623
you, 610
they, 567
are, 555
not, 487
his, 485
articl, 380
has, 378
will, 333
game, 329
team, 329
who, 322
would, 311
than, 305
like, 297
think, 290
out, 286
last, 286
more, 285
about, 282
one, 281
year, 275
get, 273
can, 272
all, 267
what, 266
had, 261
from, 260
univers, 254
good, 253
win, 250
hit, 249
run, 246
just, 244
player, 236
their, 226
ani, 217
pitch, 214
when, 214
basebal, 213
been, 209
some, 209
were, 204
play, 199
onli, 193
know, 192
how, 189
there, 187
better, 181
look, 178
make, 173
score, 173
your, 161
come, 161
two, 157
other, 156
first, 155
new, 154
him, 153
even, 152
much, 150
time, 149
fan, 148
becaus, 145
say, 142
could, 139
leagu, 137
start, 133
then, 131
see, 131
cub, 130
brave, 127
after, 127
should, 127
give, 126
realli, 126
most, 125
red, 123
mani, 122
veri, 121
best, 120
may, 119
into, 119
still, 119
doe, 119
got, 119
did, 118
over, 117
use, 116
whi, 114
lot, 113
also, 111
too, 110
them, 109
defens, 109
anyon, 108
which, 107
won, 105
home, 105
take, 104
lost, 103
be, 103
those, 103
season, 101
way, 99
base, 98
second, 97
philli, 97
these, 97
seem, 95
back, 95
guy, 94
sox, 93
go, 93
might, 92
well, 92
dave, 91
believ, 90
off, 89
big, 89
peopl, 87
now, 86
bat, 86
great, 86
met, 86
averag, 85
number, 85
morri, 84
talk, 84
probabl, 84
yanke, 83
usa, 83
offens, 83
jewish, 80
ball, 80
hall, 76
major, 76
littl, 76
world, 76
pretti, 75
right, 74
everi, 74
john, 74
want, 74
both, 73
stat, 73
need, 73
sinc, 73
hitter, 71
alomar, 71
dodger, 71
never, 71
befor, 71
least, 71
jay, 70
three, 70
while, 70
keep, 70
where, 69
down, 69
manag, 69
bob, 68
lose, 68
pitcher, 68
post, 67
steve, 67
mike, 67
predict, 67
anoth, 66
made, 66
call, 66
mayb, 65
point, 65
few, 65
ever, 65
sport, 64
tell, 63
day, 63
next, 63
tri, 62
thing, 62
san, 62
young, 62
bad, 62
thank, 62
someth, 61
same, 61
said, 61
comput, 61
total, 60
put, 60
smith, 60
field, 60
against, 59
york, 59
inning, 58
catcher, 58
long, 57
pick, 57
career, 57
philadelphia, 56
through, 56
around, 56
thought, 55
list, 55
left, 55
east, 54
david, 54
lead, 53
tiger, 53
jack, 52
certain, 52
seri, 52
divis, 51
chicago, 51
lopez, 51
finish, 51
happen, 51
came, 50
actual, 50
help, 50
boston, 49
giant, 49
move, 49
reason, 49
record, 48
sure, 48
rocki, 48
clemen, 48
compar, 48
houston, 48
baerga, 48
earli, 47
end, 47
find, 47
joe, 47
here, 47
rememb, 47
without, 46
do, 46
rbi, 46
toronto, 46
read, 46
atlanta, 46
close, 46
expect, 45
mark, 45
far, 45
let, 45
note, 45
coupl, 45
frank, 45
minor, 45
runner, 45
though, 45
our, 44
state, 44
open, 44
mean, 44
name, 44
pleas, 44
beat, 44
indian, 44
watch, 44
third, 44
between, 43
show, 43
fame, 43
someon, 43
done, 43
alway, 42
consid, 42
angel, 42
worst, 42
differ, 42
save, 42
oriol, 42
nation, 41
cardin, 41
suck, 41
era, 41
work, 41
each, 41
deserv, 40
pirat, 40
old, 40
guess, 40
west, 39
sign, 39
abl, 39
institut, 39
given, 39
perform, 39
line, 39
hope, 39
baltimor, 39
until, 39
astro, 39
high, 38
wonder, 38
feel, 38
hand, 38
blue, 38
mail, 38
power, 38
homer, 38
dure, 38
except, 38
bill, 38
rather, 37
clear, 37
bit, 37
jim, 37
short, 37
top, 37
staff, 37
again, 36
miss, 36
bring, 36
stadium, 36
person, 36
spring, 36
cleveland, 35
went, 35
such, 35
jose, 35
walk, 35
rooki, 35
seen, 35
obp, 35
kingman, 35
trade, 35
question, 35
park, 35
colleg, 35
anyth, 35
aaa, 34
doubl, 34
els, 34
turn, 34
quit, 34
rule, 33
surpris, 33
heard, 33
chanc, 33
scienc, 33
final, 33
sever, 33
write, 33
improv, 33
white, 33
follow, 33
citi, 33
twin, 32
import, 32
enough, 32
strike, 32
injuri, 32
talent, 32
part, 32
nice, 32
past, 32
must, 32
royal, 32
especi, 32
man, 31
sandberg, 31
uniform, 31
strong, 31
stand, 31
ahead, 31
cincinnati, 31
los, 31
less, 31
behind, 31
age, 31
rest, 31
singl, 31
problem, 31
jeff, 31
away, 31
school, 30
word, 30
roger, 30
ryan, 30
american, 30
starter, 29
took, 29
either, 29
quick, 29
week, 29
marlin, 29
rbis, 29
place, 29
expo, 29
technolog, 29
fact, 28
usual, 28
ozzi, 28
pinch, 28
loui, 28
swing, 28
april, 28
almost, 28
report, 28
interest, 28
allow, 28
found, 28
possibl, 28
diego, 28
club, 28
posit, 27
add, 27
individu, 27
near, 27
mention, 27
four, 27
live, 27
forget, 27
andr, 27
throw, 27
late, 27
abov, 27
art, 26
servic, 26
unless, 26
sound, 26
suppos, 26
detroit, 26
ted, 26
gotten, 26
closer, 26
california, 26
nolan, 26
love, 26
pittsburg, 26
appear, 26
road, 26
current, 26
scott, 26
job, 26
bullpen, 25
phil, 25
minnesota, 25
michael, 25
tom, 25
impress, 25
dead, 25
catch, 25
larg, 25
previous, 25
extra, 25
wip, 25
book, 25
chang, 25
infield, 24
milwauke, 24
liber, 24
engin, 24
local, 24
continu, 24
free, 24
hard, 24
goe, 24
rotat, 24
system, 24
complet, 24
understand, 24
face, 24
rate, 24
ask, 24
lee, 24
effect, 24
five, 24
threw, 24
everyon, 24
solid, 23
claim, 23
expans, 23
fli, 23
recent, 23
ron, 23
eric, 23
depart, 23
due, 23
tie, 23
pittsburgh, 23
case, 23
batter, 23
send, 23
colorado, 23
bond, 22
kind, 22
box, 22
davi, 22
reach, 22
weak, 22
statist, 22
stop, 22
oakland, 22
palmer, 22
perhap, 22
hernandez, 22
gmt, 22
respect, 22
below, 22
valu, 22
brought, 22
hung, 22
georg, 22
comment, 22
credit, 22
learn, 22
noth, 22
edg, 22
head, 22
brewer, 21
francisco, 21
obvious, 21
contribut, 21
simmon, 21
own, 21
real, 21
jame, 21
mlb, 21
data, 21
seattl, 20
olson, 20
product, 20
relief, 20
drive, 20
enjoy, 20
situat, 20
winfield, 20
montreal, 20
greatest, 20
excel, 20
slg, 20
florida, 20
whiten, 20
decid, 20
exact, 20
belong, 20
virginia, 20
serious, 20
fielder, 20
apr, 20
canada, 20
bogg, 19
pete, 19
news, 19
hear, 19
sent, 19
gave, 19
design, 19
abil, 19
viola, 19
million, 19
caught, 19
she, 19
gari, 19
anybodi, 19
torr, 19
rush, 19
it, 19
histori, 19
prove, 19
coach, 19
murray, 19
agre, 19
texa, 19
alreadi, 19
doug, 19
night, 19
argument, 19
william, 19
kansa, 18
mat, 18
cornel, 18
standard, 18
earn, 18
eddi, 18
