Word, Frequency
the, 6686
and, 3299
that, 1994
for, 1391
are, 1084
this, 1027
have, 1012
with, 997
not, 983
you, 963
but, 677
was, 619
from, 544
can, 540
about, 506
one, 497
use, 483
they, 473
there, 471
has, 466
what, 454
articl, 449
some, 445
ani, 436
your, 421
would, 410
will, 408
get, 371
who, 364
which, 360
all, 340
like, 309
other, 307
more, 303
medic, 289
univers, 287
know, 287
when, 282
been, 282
their, 268
had, 266
peopl, 259
than, 252
these, 249
just, 243
out, 243
think, 242
scienc, 242
most, 238
msg, 237
also, 231
caus, 225
onli, 224
were, 217
may, 216
new, 212
veri, 212
make, 208
take, 206
patient, 203
should, 202
health, 201
mani, 199
time, 197
she, 195
food, 194
becaus, 192
his, 191
how, 190
research, 187
diseas, 186
such, 183
doe, 183
doctor, 180
good, 179
say, 174
effect, 173
after, 173
studi, 173
even, 171
year, 167
see, 167
too, 167
comput, 165
could, 165
inform, 163
seem, 160
problem, 159
work, 153
much, 153
then, 148
those, 147
anyon, 145
want, 144
where, 143
help, 142
tri, 141
find, 140
sinc, 139
number, 134
case, 134
two, 133
need, 132
system, 132
lot, 131
into, 130
her, 130
cancer, 130
thing, 129
question, 126
look, 123
pain, 122
differ, 121
call, 121
center, 121
test, 119
pittsburgh, 119
read, 119
report, 118
first, 117
them, 117
without, 115
treatment, 115
back, 113
water, 113
post, 113
be, 113
person, 111
way, 111
certain, 111
same, 110
realli, 110
might, 110
state, 110
over, 110
someth, 110
few, 108
whi, 105
result, 105
sure, 104
now, 104
medicin, 102
eat, 102
it, 101
sever, 100
never, 100
develop, 100
type, 99
day, 99
still, 98
candida, 96
between, 96
probabl, 95
come, 95
well, 95
general, 95
increas, 94
sensit, 94
drug, 93
human, 93
provid, 92
clinic, 92
scientif, 92
bank, 92
believ, 91
while, 91
public, 90
said, 90
program, 90
high, 90
includ, 90
everi, 90
long, 89
keyboard, 89
found, 89
show, 88
blood, 88
prevent, 88
point, 88
diet, 87
world, 87
interest, 87
normal, 87
nation, 86
kind, 84
must, 84
through, 84
did, 84
treat, 83
gordon, 83
reason, 83
among, 82
here, 82
infect, 82
part, 82
shame, 82
experi, 82
week, 81
control, 81
chastiti, 80
care, 80
evid, 80
anyth, 80
april, 80
great, 80
enough, 80
surrend, 78
possibl, 78
befor, 77
least, 77
relat, 77
idea, 77
usual, 77
product, 76
our, 76
servic, 76
keep, 76
avail, 75
less, 75
pleas, 75
organ, 74
give, 74
thank, 74
each, 74
tell, 73
dure, 73
put, 73
respons, 73
go, 73
anoth, 72
institut, 71
recent, 71
physician, 71
littl, 71
quit, 71
ask, 71
both, 71
risk, 70
group, 70
start, 70
right, 69
mean, 69
last, 69
noth, 68
whether, 67
newslett, 67
off, 67
better, 67
per, 66
made, 66
bodi, 66
becom, 65
aid, 65
level, 65
best, 65
scientist, 65
common, 64
current, 64
page, 64
natur, 64
follow, 62
under, 62
involv, 61
weight, 61
theori, 61
feel, 61
three, 61
associ, 61
someon, 61
live, 60
volum, 60
age, 59
hiv, 59
vitamin, 59
diagnos, 59
info, 58
chang, 58
own, 58
friend, 58
heard, 58
occur, 57
chines, 57
consid, 57
old, 57
often, 57
contain, 57
avoid, 57
understand, 57
amount, 57
methodolog, 57
requir, 57
similar, 57
seen, 56
refer, 56
symptom, 56
yeast, 56
method, 56
told, 55
thought, 55
done, 55
hope, 55
steve, 55
suggest, 55
got, 55
area, 54
month, 54
brain, 54
hicnet, 54
technolog, 54
reaction, 53
fact, 53
rather, 53
around, 53
unit, 52
cours, 51
actual, 51
him, 51
signific, 50
dept, 50
opinion, 50
restaur, 50
place, 50
sort, 50
direct, 50
happen, 50
depart, 49
do, 49
alway, 49
complet, 49
within, 49
produc, 49
import, 49
set, 49
abl, 49
unless, 49
order, 48
appli, 48
tobacco, 48
taken, 48
skin, 48
children, 48
issu, 48
larg, 47
david, 47
down, 47
hold, 47
acid, 47
continu, 46
support, 46
learn, 46
left, 46
publish, 46
eye, 46
migrain, 46
major, 46
object, 46
tast, 46
chronic, 45
educ, 45
end, 45
dyer, 45
intern, 45
bad, 45
coupl, 45
correct, 45
ill, 45
sinus, 44
name, 44
real, 44
muscl, 44
perhap, 44
turn, 44
particular, 44
cure, 44
reduc, 44
given, 44
accept, 44
talk, 44
smoke, 44
homeopathi, 44
subject, 43
especi, 43
sometim, 43
process, 43
although, 43
syndrom, 43
almost, 43
els, 43
either, 43
abov, 42
extrem, 42
hospit, 42
therapi, 42
concern, 42
allerg, 42
local, 42
allow, 42
rememb, 42
discuss, 42
success, 42
list, 41
gene, 41
next, 41
condit, 41
american, 41
immun, 41
appar, 41
manag, 41
adult, 41
describ, 41
though, 41
