Word, Frequency
the, 8062
and, 3148
for, 1621
that, 1517
space, 1066
this, 916
you, 907
are, 868
have, 777
with, 728
was, 722
not, 648
from, 636
but, 594
will, 573
they, 544
would, 534
about, 463
launch, 406
use, 402
articl, 392
can, 386
orbit, 376
there, 367
some, 364
all, 347
has, 344
one, 338
like, 335
just, 331
more, 329
nasa, 326
which, 326
get, 315
what, 314
other, 299
were, 278
how, 273
out, 258
your, 253
than, 251
univers, 248
satellit, 245
also, 244
first, 244
who, 231
into, 225
ani, 222
could, 219
lunar, 216
their, 214
new, 210
time, 209
system, 208
been, 205
data, 203
may, 202
think, 200
it, 199
had, 199
shuttl, 197
onli, 196
moon, 193
year, 192
these, 192
make, 191
work, 185
mission, 182
know, 178
veri, 174
much, 173
peopl, 171
see, 170
when, 169
cost, 168
post, 164
program, 163
then, 162
look, 162
after, 161
whi, 155
rocket, 153
develop, 152
earth, 152
scienc, 151
flight, 148
be, 148
them, 147
most, 147
center, 143
fund, 142
nation, 142
such, 141
need, 141
research, 141
world, 139
his, 139
includ, 139
project, 139
should, 136
where, 136
thing, 136
might, 133
even, 131
imag, 129
doe, 128
avail, 128
two, 127
solar, 127
comput, 125
base, 125
technolog, 124
engin, 124
commerci, 123
station, 123
spacecraft, 122
part, 120
design, 120
those, 119
want, 116
inform, 114
probe, 113
way, 113
power, 113
put, 112
intern, 111
anyon, 111
mani, 111
few, 109
say, 108
tri, 107
give, 107
high, 107
mar, 106
long, 106
read, 106
larg, 105
around, 105
over, 105
take, 104
interest, 103
good, 103
provid, 102
support, 102
through, 101
vehicl, 100
oper, 100
april, 99
problem, 99
someth, 99
billion, 99
question, 98
general, 98
call, 97
find, 97
test, 97
softwar, 97
planetari, 96
our, 95
small, 92
sinc, 91
last, 91
requir, 90
propuls, 90
said, 90
observ, 90
idea, 90
servic, 90
report, 89
go, 89
still, 87
current, 87
state, 87
realli, 86
lot, 86
while, 86
come, 86
place, 86
send, 86
same, 86
littl, 86
now, 85
becaus, 85
befor, 85
day, 85
set, 85
man, 84
differ, 84
better, 84
right, 83
keep, 83
plan, 82
access, 82
start, 81
big, 81
point, 81
real, 81
off, 81
probabl, 80
radio, 80
dure, 80
activ, 80
enough, 80
did, 79
made, 79
well, 79
end, 78
communic, 77
help, 77
possibl, 77
anoth, 76
russian, 76
build, 76
sever, 76
actual, 75
talk, 75
telescop, 74
least, 74
star, 74
back, 73
command, 73
astronaut, 72
public, 72
between, 72
govern, 72
land, 72
someon, 72
comet, 71
list, 71
toronto, 71
air, 71
ask, 71
sourc, 71
show, 71
name, 70
group, 70
usa, 69
physic, 69
follow, 69
offic, 69
news, 68
control, 68
money, 68
materi, 68
apr, 68
each, 68
mayb, 67
process, 67
seem, 67
zoolog, 67
model, 67
everi, 66
astronom, 66
pleas, 66
three, 66
laboratori, 66
jet, 66
market, 65
down, 65
both, 65
astronomi, 65
never, 65
studi, 64
rather, 64
next, 64
reason, 64
low, 64
explor, 64
titan, 63
order, 62
planet, 62
forc, 62
refer, 62
object, 61
sure, 61
militari, 61
assum, 61
great, 61
here, 61
under, 60
got, 60
book, 60
area, 60
technic, 60
level, 60
done, 60
light, 60
mean, 60
chang, 59
messag, 59
onlin, 59
express, 59
must, 59
institut, 59
carri, 59
live, 58
mass, 58
sort, 58
heard, 57
thought, 57
experi, 57
basic, 57
propos, 57
old, 57
involv, 56
atmospher, 56
jpl, 56
capabl, 56
direct, 56
known, 56
publish, 56
fli, 56
major, 55
without, 55
second, 55
return, 55
surfac, 54
perform, 54
sound, 54
far, 54
applic, 54
compani, 54
note, 54
found, 54
within, 54
ftp, 53
exist, 53
number, 53
forward, 53
option, 53
abl, 53
venus, 52
anyth, 52
organ, 52
payload, 52
faq, 51
unit, 51
thank, 51
believ, 51
tell, 51
issu, 51
mine, 51
gmt, 51
recent, 51
manag, 50
person, 50
near, 50
per, 50
relat, 50
prize, 50
reach, 50
speak, 50
acceler, 50
email, 49
box, 49
success, 49
measur, 49
caus, 49
loss, 49
fuel, 49
bit, 49
receiv, 49
redesign, 48
stage, 48
quit, 48
aerospac, 48
built, 48
million, 48
do, 48
degre, 48
expect, 48
graviti, 47
remot, 47
scientif, 47
describ, 47
sci, 47
map, 47
observatori, 47
discuss, 46
ever, 46
white, 46
kind, 46
total, 46
result, 46
posit, 46
contact, 46
henri, 46
becom, 46
element, 45
own, 45
jupit, 45
given, 45
too, 45
case, 45
energi, 45
less, 45
instrument, 44
allow, 44
consid, 44
let, 44
run, 44
week, 44
soviet, 44
onc, 44
addit, 44
rememb, 44
select, 44
track, 43
digest, 43
sens, 43
life, 43
theori, 43
ame, 43
locat, 43
rate, 43
increas, 42
hope, 42
michael, 42
mail, 42
van, 42
answer, 42
complet, 42
inflat, 42
agenc, 42
privat, 42
site, 42
singl, 41
ozon, 41
lab, 41
sky, 41
user, 41
facil, 41
nuclear, 41
address, 41
until, 41
understand, 41
cover, 41
spend, 40
anonym, 40
north, 40
respons, 40
ground, 40
certain, 40
detail, 40
various, 40
origin, 40
special, 40
schedul, 40
close, 40
team, 39
spencer, 39
turn, 39
els, 39
attempt, 39
beam, 39
cours, 39
pay, 39
saturn, 39
similar, 39
budget, 39
wonder, 39
serious, 39
continu, 39
industri, 39
sun, 39
offer, 38
local, 38
specif, 38
hard, 38
radar, 38
advertis, 38
guy, 37
noth, 37
releas, 37
alaska, 37
figur, 37
scale, 37
claim, 37
delta, 37
effort, 36
structur, 36
black, 36
vandal, 36
care, 36
valu, 36
potenti, 36
remain, 36
ssf, 36
electron, 35
ssto, 35
jack, 35
amateur, 35
form, 35
contain, 35
type, 35
final, 35
societi, 35
archiv, 34
human, 34
file, 34
mention, 34
him, 34
fact, 34
almost, 34
sail, 34
initi, 34
announc, 34
busi, 34
galileo, 34
updat, 34
month, 34
appear, 34
sent, 34
amount, 34
magellan, 34
happen, 34
pressur, 33
learn, 33
cut, 33
limit, 33
frequent, 33
invest, 33
suggest, 33
california, 33
generat, 33
american, 33
lead, 33
line, 33
alway, 33
via, 33
short, 33
guess, 33
bill, 33
earli, 33
liquid, 33
transport, 33
repres, 33
gamma, 33
took, 33
toward, 33
expens, 33
speed, 33
rang, 33
product, 32
meet, 32
effect, 32
sometim, 32
whole, 32
estim, 32
proton, 32
launcher, 32
unless, 32
vnew, 32
section, 32
ray, 32
futur, 32
modul, 32
train, 32
class, 32
yet, 32
defens, 31
constant, 31
seen, 31
race, 31
everyon, 31
explain, 31
face, 31
network, 31
opinion, 31
move, 31
period, 31
purpos, 31
safeti, 31
night, 31
corpor, 31
advanc, 31
import, 31
billboard, 31
either, 30
due, 30
fair, 30
tank, 30
global, 30
john, 30
appar, 30
march, 30
seri, 30
half, 30
upon, 30
correct, 30
field, 30
perhap, 30
achiev, 30
add, 30
timer, 30
aviat, 30
japanes, 30
ad, 30
open, 29
contract, 29
pioneer, 29
indic, 29
hundr, 29
ventur, 29
although, 29
coupl, 29
internet, 29
centaur, 29
hole, 29
pretti, 29
stop, 29
produc, 29
analysi, 29
head, 29
fairbank, 29
craft, 29
physicist, 29
confer, 29
texa, 29
wast, 28
buy, 28
crew, 28
depart, 28
temporari, 28
ether, 28
appli, 28
told, 28
natur, 28
kipl, 28
miner, 28
clear, 28
pilot, 28
ron, 28
polit, 28
mind, 28
job, 28
solid, 28
price, 28
mccall, 28
mark, 28
robert, 28
apollo, 28
spent, 28
signific, 28
ago, 28
voyag, 28
sunset, 28
antenna, 27
transfer, 27
flybi, 27
histori, 27
aircraft, 27
exact, 27
distribut, 27
resourc, 27
fail, 27
format, 27
simpli, 27
educ, 27
marin, 27
sale, 27
bodi, 27
atlas, 27
copi, 27
free, 27
insid, 27
key, 27
went, 27
gas, 27
charg, 27
begin, 27
abov, 26
info, 26
drive, 26
arian, 26
subject, 26
lower, 26
collect, 26
associ, 26
administr, 26
kill, 26
impact, 26
particular, 26
net, 26
brief, 26
accord, 26
memori, 26
late, 26
imagin, 26
demand, 26
balloon, 26
goe, 26
request, 26
scientist, 25
hold, 25
luna, 25
beyond, 25
veloc, 25
stuff, 25
signal, 25
baalk, 25
coloni, 25
particip, 25
leav, 25
infrar, 25
hear, 25
booster, 25
bring, 25
miss, 25
except, 25
present, 25
thermal, 25
size, 25
term, 25
central, 25
strong, 25
member, 25
main, 25
western, 25
practic, 25
accept, 25
attitud, 24
write, 24
separ, 24
mechan, 24
concept, 24
joint, 24
hour, 24
moonbas, 24
sell, 24
tom, 24
european, 24
rule, 24
equip, 24
approach, 24
radius, 24
determin, 24
volum, 24
simul, 24
assist, 24
sorri, 24
demonstr, 24
integr, 24
taken, 24
four, 24
student, 24
offici, 24
chapter, 24
mari, 24
spin, 24
upper, 24
food, 24
compar, 24
het, 23
thousand, 23
depend, 23
maneuv, 23
alreadi, 23
school, 23
feder, 23
martian, 23
factor, 23
crystal, 23
past, 23
exampl, 23
higher, 23
thoma, 23
washington, 23
topic, 23
drag, 23
instead, 23
watch, 23
deal, 23
array, 23
status, 23
left, 23
bad, 23
abort, 23
press, 23
dryden, 23
larger, 23
version, 23
suppli, 23
against, 23
pad, 23
ignor, 23
distanc, 23
asteroid, 23
typic, 23
reward, 23
view, 23
mile, 22
third, 22
side, 22
dougla, 22
whether, 22
entir, 22
gehrel, 22
gun, 22
mcdonnel, 22
tax, 22
block, 22
predict, 22
replac, 22
suppos, 22
visibl, 22
five, 22
candid, 22
benefit, 22
theoret, 22
longer, 22
colorado, 22
orion, 22
dynam, 22
along, 22
paper, 22
contribut, 22
trajectori, 22
roll, 21
committe, 21
ball, 21
reston, 21
gif, 21
approxim, 21
pure, 21
event, 21
assembl, 21
maryland, 21
substanti, 21
wrong, 21
wish, 21
firm, 21
step, 21
citi, 21
david, 21
act, 21
hit, 21
altitud, 21
perfect, 21
protect, 21
creat, 21
further, 21
extrem, 21
frequenc, 21
individu, 20
reserv, 20
electr, 20
telo, 20
jame, 20
worth, 20
fire, 20
connect, 20
nick, 20
best, 20
afford, 20
comment, 20
san, 20
colleg, 20
visit, 20
clipper, 20
johnson, 20
plane, 20
investig, 20
vike, 20
street, 20
hardwar, 20
minut, 20
chanc, 20
directori, 20
cheaper, 20
document, 20
allen, 20
astrophys, 20
full, 20
away, 20
fit, 20
south, 20
crater, 19
vision, 19
rotat, 19
index, 19
none, 19
feel, 19
lost, 19
een, 19
came, 19
acronym, 19
inc, 19
age, 19
georg, 19
ten, 19
meter, 19
function, 19
matter, 19
los, 19
larson, 19
arriv, 19
maintain, 19
somewher, 19
oliveira, 19
optic, 19
hill, 19
top, 19
employe, 19
handl, 19
calcul, 19
easili, 19
ibm, 19
lander, 18
burst, 18
illinoi, 18
search, 18
primari, 18
leo, 18
risk, 18
drop, 18
written, 18
experiment, 18
complex, 18
sign, 18
goal, 18
tool, 18
gain, 18
advantag, 18
eat, 18
push, 18
hous, 18
congress, 18
check, 18
again, 18
quot, 18
failur, 18
radiat, 18
true, 18
saw, 18
flew, 18
sdio, 18
interstellar, 18
vacuum, 18
burn, 18
sampl, 18
circular, 18
method, 18
author, 17
journal, 17
catalog, 17
explos, 17
stay, 17
dream, 17
link, 17
altern, 17
financi, 17
dark, 17
item, 17
doubt, 17
databas, 17
friend, 17
former, 17
cold, 17
ultraviolet, 17
fee, 17
minor, 17
huge, 17
accomplish, 17
play, 17
australia, 17
transmit, 17
aliv, 17
chapel, 17
canada, 17
ssrt, 17
countri, 17
camera, 17
photo, 17
fermi, 17
previous, 17
latest, 17
drink, 17
establish, 17
august, 17
decid, 17
custom, 17
aeronaut, 17
zealand, 17
hopkin, 17
motor, 17
obvious, 17
annual, 16
conduct, 16
necessari, 16
oil, 16
heat, 16
moscow, 16
legal, 16
server, 16
reduc, 16
transit, 16
giant, 16
survey, 16
hand, 16
suit, 16
eventu, 16
unman, 16
date, 16
fred, 16
cross, 16
varieti, 16
opportun, 16
wide, 16
west, 16
challeng, 16
urbana, 16
anybodi, 16
phase, 16
mode, 16
heavi, 16
specul, 16
standard, 16
water, 16
confirm, 16
gather, 16
knowledg, 16
thruster, 16
spot, 16
held, 16
fusion, 16
stori, 16
temperatur, 16
monitor, 16
pictur, 16
rest, 16
occur, 16
convert, 16
precis, 16
target, 16
unifi, 16
foundat, 16
lack, 16
thu, 16
wing, 16
museum, 16
account, 16
grade, 16
interplanetari, 16
angl, 16
pegasus, 16
pluto, 15
immedi, 15
page, 15
purchas, 15
diamet, 15
among, 15
langley, 15
perman, 15
love, 15
overhead, 15
advisori, 15
reusabl, 15
film, 15
edit, 15
recommend, 15
navig, 15
word, 15
contest, 15
regular, 15
crash, 15
closer, 15
unlik, 15
relay, 15
gave, 15
wrap, 15
coordin, 15
construct, 15
evil, 15
itself, 15
park, 15
regard, 15
environment, 15
dimens, 15
below, 15
presid, 15
cosmic, 15
compress, 15
techniqu, 15
japan, 15
prototyp, 15
normal, 15
thread, 15
behind, 15
director, 15
intend, 15
aid, 15
usual, 15
otherwis, 15
difficult, 15
ken, 15
compon, 15
fiction, 15
essenti, 15
pound, 15
multipl, 15
simpl, 15
profession, 15
recal, 15
phone, 15
excel, 15
deliv, 15
evid, 15
road, 15
stabl, 15
later, 15
error, 15
cassini, 15
letter, 15
pass, 15
win, 14
wall, 14
pollut, 14
bruce, 14
hst, 14
featur, 14
paid, 14
goddard, 14
divis, 14
shadow, 14
sit, 14
spectromet, 14
core, 14
summari, 14
galaxi, 14
telecommun, 14
mercuri, 14
bulletin, 14
belt, 14
statement, 14
dewey, 14
improv, 14
concentr, 14
fax, 14
aweto, 14
poison, 14
comprehens, 14
caterpillar, 14
breath, 14
lick, 14
tour, 14
jsc, 14
tomorrow, 14
uranus, 14
genius, 14
feet, 14
geolog, 14
venera, 14
decad, 14
particl, 14
pat, 14
quarter, 14
uranium, 14
panel, 14
ancient, 14
today, 14
obtain, 14
accur, 14
height, 14
atom, 14
sector, 14
green, 14
guid, 14
mobil, 14
laser, 14
plus, 14
pull, 14
discov, 14
usaf, 14
sunris, 14
profit, 14
ring, 14
thus, 14
spacewalk, 14
rais, 14
especi, 14
debri, 14
captur, 14
critic, 14
galact, 14
modern, 14
situat, 14
hubbl, 13
dollar, 13
chlorin, 13
across, 13
outsid, 13
shut, 13
easi, 13
outer, 13
usenet, 13
somewhat, 13
growth, 13
display, 13
logo, 13
suffici, 13
feb, 13
civilian, 13
iii, 13
grant, 13
constel, 13
modifi, 13
weight, 13
code, 13
stupid, 13
sequenc, 13
primarili, 13
livermor, 13
armi, 13
kept, 13
feed, 13
investor, 13
richard, 13
surviv, 13
bbs, 13
isbn, 13
record, 13
carnegi, 13
appropri, 13
mathemat, 13
ship, 13
war, 13
lewi, 13
polar, 13
chemic, 13
though, 13
econom, 13
husband, 13
stick, 13
principl, 13
hideous, 13
cooper, 13
ladi, 13
gravit, 13
enter, 13
ranger, 13
british, 13
cloud, 13
josh, 13
concern, 13
cannot, 13
orient, 13
corp, 13
davi, 13
robot, 13
hawk, 13
repli, 13
gps, 12
attent, 12
sight, 12
doug, 12
magnet, 12
revenu, 12
print, 12
consum, 12
teh, 12
weather, 12
tin, 12
util, 12
microwav, 12
nobodi, 12
rocketri, 12
professor, 12
ton, 12
celesti, 12
realiti, 12
consist, 12
largest, 12
throw, 12
mellon, 12
sponsor, 12
interpret, 12
formula, 12
radii, 12
everyth, 12
telemetri, 12
warn, 12
save, 12
rumor, 12
greater, 12
combin, 12
relev, 12
dong, 12
respect, 12
mere, 12
restor, 12
shape, 12
evalu, 12
fix, 12
realiz, 12
six, 12
specialist, 12
paint, 12
llnl, 12
pursu, 12
guidanc, 12
wind, 12
faa, 12
popular, 12
review, 12
detector, 12
fast, 12
vax, 12
odd, 12
fall, 12
coverag, 12
load, 12
whose, 12
feasibl, 11
mayan, 11
configur, 11
extract, 11
promot, 11
densiti, 11
librari, 11
attach, 11
hga, 11
motion, 11
extern, 11
olympus, 11
summer, 11
math, 11
lindbergh, 11
worri, 11
equival, 11
griffin, 11
complain, 11
remind, 11
mir, 11
identifi, 11
massachusett, 11
vlbi, 11
length, 11
sustain, 11
disk, 11
often, 11
resolut, 11
count, 11
travel, 11
affect, 11
besid, 11
outlin, 11
her, 11
averag, 11
twist, 11
common, 11
region, 11
arrang, 11
vertic, 11
deploy, 11
mike, 11
max, 11
digit, 11
safe, 11
oxygen, 11
retriev, 11
quick, 11
deriv, 11
togeth, 11
