Word, Frequency
the, 10904
and, 4234
that, 4125
not, 1964
you, 1673
for, 1649
are, 1645
this, 1557
have, 1481
but, 1263
with, 1187
was, 1168
they, 917
what, 858
god, 813
from, 812
who, 774
would, 756
christian, 747
his, 735
there, 734
can, 730
about, 724
all, 723
one, 695
will, 691
your, 567
peopl, 548
some, 539
has, 522
believ, 520
which, 496
say, 481
when, 472
our, 471
think, 468
other, 465
their, 461
were, 439
know, 429
ani, 421
onli, 404
jesus, 401
doe, 393
been, 390
like, 382
becaus, 381
how, 372
had, 359
more, 342
just, 340
may, 332
univers, 330
church, 313
than, 304
should, 303
be, 302
come, 298
also, 295
articl, 295
see, 294
out, 294
then, 291
make, 287
question, 287
use, 286
those, 280
whi, 279
bibl, 276
time, 262
mean, 256
thing, 256
even, 255
did, 251
veri, 247
these, 245
mani, 243
good, 237
most, 237
them, 231
into, 226
must, 226
faith, 226
could, 225
new, 221
seem, 216
want, 214
reason, 211
get, 208
him, 208
live, 205
read, 201
word, 201
differ, 200
such, 199
find, 198
claim, 197
way, 195
christ, 193
much, 191
someth, 186
truth, 183
work, 178
need, 177
never, 175
realli, 175
ask, 173
follow, 172
own, 172
love, 170
where, 167
through, 167
both, 166
her, 166
part, 165
point, 165
give, 165
person, 165
two, 165
tri, 164
belief, 164
discuss, 164
she, 161
take, 160
call, 160
cathol, 159
hell, 158
first, 155
problem, 154
talk, 154
life, 154
accept, 152
same, 152
certain, 151
book, 151
without, 148
understand, 148
human, 148
look, 145
answer, 145
made, 144
exist, 144
might, 143
man, 142
day, 141
after, 140
it, 139
law, 138
sinc, 136
befor, 136
fact, 135
cannot, 135
world, 134
sin, 134
post, 133
still, 131
tell, 130
rather, 129
said, 129
true, 128
etern, 125
paul, 123
someon, 121
holi, 120
right, 120
here, 120
clear, 120
over, 118
alway, 117
year, 117
everi, 117
absolut, 116
now, 115
anyon, 115
show, 114
quit, 114
author, 114
scriptur, 114
becom, 113
anoth, 113
idea, 111
religion, 110
group, 110
feel, 110
while, 109
teach, 109
possibl, 108
go, 108
whether, 107
refer, 106
interest, 106
natur, 106
john, 103
evid, 103
probabl, 103
great, 103
view, 102
act, 102
far, 101
last, 100
assum, 100
matter, 98
least, 97
sure, 97
name, 96
atheist, 96
found, 96
save, 96
lot, 96
state, 95
origin, 95
jewish, 94
speak, 94
given, 94
arrog, 93
anyth, 93
noth, 93
between, 92
help, 92
consid, 92
end, 91
argument, 90
suggest, 90
bodi, 90
well, 90
ever, 90
general, 90
lord, 88
father, 88
put, 87
hold, 87
each, 87
actual, 87
let, 86
doctrin, 86
spirit, 86
happen, 86
best, 86
physic, 85
opinion, 85
littl, 85
studi, 84
resurrect, 84
pleas, 84
chang, 83
back, 83
do, 83
son, 83
roman, 83
too, 82
scienc, 82
worship, 81
heaven, 80
appear, 80
simpli, 80
thought, 79
yet, 79
revel, 79
jew, 78
command, 78
shall, 78
under, 77
came, 77
real, 77
statement, 77
pope, 76
die, 75
issu, 75
specif, 75
interpret, 74
hope, 74
explain, 74
religi, 74
requir, 73
place, 73
agre, 73
jame, 73
few, 72
sabbath, 72
marriag, 72
hard, 72
himself, 71
though, 71
therefor, 71
turn, 71
long, 71
prayer, 70
base, 70
suppos, 70
caus, 69
enough, 69
import, 69
marri, 69
expect, 68
mind, 68
pray, 68
reject, 68
got, 68
told, 68
keep, 67
respons, 67
kind, 67
regard, 67
done, 67
write, 67
present, 66
direct, 66
second, 66
whole, 66
either, 66
involv, 66
better, 66
against, 66
mari, 65
thus, 65
until, 65
death, 65
accord, 65
power, 64
perhap, 64
note, 64
judg, 64
abl, 64
sens, 63
down, 63
among, 63
subject, 63
often, 63
tradit, 63
spiritu, 62
divin, 62
exact, 62
nor, 62
especi, 62
appli, 61
mayb, 61
relat, 61
upon, 61
case, 61
earli, 60
moral, 60
particular, 60
provid, 59
off, 59
biblic, 59
everyon, 59
experi, 59
start, 58
rememb, 58
thank, 58
recent, 58
doubt, 58
set, 58
heard, 58
learn, 57
decid, 56
posit, 56
quot, 56
allow, 56
concept, 56
around, 56
sourc, 56
onc, 56
away, 56
wrong, 55
earth, 55
object, 55
less, 55
care, 55
languag, 55
cours, 54
war, 54
includ, 54
order, 54
concern, 54
creat, 54
friend, 54
passag, 54
seen, 54
choos, 53
free, 53
old, 53
coupl, 53
vers, 53
hear, 53
knew, 53
account, 53
everyth, 53
realiz, 53
written, 53
ceremoni, 53
pagan, 52
translat, 52
definit, 52
sort, 52
fear, 51
comput, 51
again, 51
reveal, 51
messag, 51
express, 51
although, 51
purpos, 51
term, 51
nation, 51
mark, 51
number, 50
situat, 50
similar, 50
gospel, 50
logic, 49
deni, 49
practic, 49
three, 49
mother, 49
exampl, 49
sever, 48
knowledg, 48
attempt, 48
els, 48
effect, 48
testament, 48
complet, 47
bless, 47
bring, 47
commit, 47
respect, 47
unto, 47
send, 47
lead, 47
dure, 46
taken, 46
canon, 46
begin, 46
sound, 46
known, 45
final, 45
basic, 45
punish, 45
conclus, 45
associ, 45
entir, 45
black, 45
mention, 45
dead, 45
support, 45
modern, 45
action, 45
receiv, 44
result, 44
prove, 44
kill, 44
strong, 44
describ, 44
public, 44
priest, 44
georgia, 44
open, 44
celebr, 44
suffer, 43
fall, 43
neither, 43
week, 43
research, 43
andrew, 43
technolog, 43
member, 42
share, 42
howev, 42
michael, 42
total, 42
common, 42
orthodox, 42
propheci, 42
sometim, 42
themselv, 42
proof, 42
bit, 42
gift, 42
peac, 41
close, 41
