Word, Frequency
the, 9768
and, 3441
that, 2494
you, 1609
for, 1527
have, 1292
are, 1172
this, 1131
they, 1071
not, 1069
gun, 940
was, 929
with, 912
would, 798
but, 717
from, 643
all, 587
were, 544
will, 528
your, 528
what, 527
peopl, 517
their, 491
use, 490
articl, 473
about, 472
there, 460
who, 453
one, 452
more, 452
like, 440
can, 434
had, 408
ani, 400
get, 393
has, 389
out, 375
than, 364
other, 359
state, 355
right, 341
some, 339
when, 336
been, 335
make, 331
think, 331
onli, 321
just, 302
which, 297
law, 294
them, 293
weapon, 282
firearm, 277
how, 275
then, 271
his, 258
fire, 250
those, 244
should, 239
govern, 237
time, 235
becaus, 235
could, 233
these, 233
even, 228
know, 225
believ, 220
univers, 218
kill, 218
veri, 213
whi, 207
thing, 205
own, 205
say, 198
bill, 198
control, 193
most, 187
crime, 185
into, 182
mani, 180
also, 179
carri, 178
want, 176
be, 175
handgun, 174
such, 173
good, 172
against, 171
over, 169
day, 168
see, 168
mean, 167
public, 166
amend, 163
take, 161
fbi, 160
where, 157
never, 157
did, 156
two, 156
crimin, 155
polic, 155
much, 154
keep, 153
point, 150
come, 150
usa, 149
person, 148
arm, 148
seem, 145
nation, 145
way, 145
american, 143
well, 143
need, 139
after, 138
death, 137
feder, 136
number, 136
may, 135
start, 133
now, 133
doe, 133
befor, 132
support, 131
while, 130
new, 129
said, 128
batf, 128
year, 127
second, 126
tri, 125
differ, 124
first, 122
without, 121
rate, 121
few, 121
question, 120
claim, 120
still, 120
our, 119
report, 119
post, 119
under, 118
same, 118
realli, 118
protect, 117
go, 117
atf, 116
live, 114
down, 114
militia, 114
case, 112
look, 110
made, 110
far, 110
here, 109
too, 109
waco, 109
happen, 109
everi, 108
must, 107
requir, 107
someon, 106
safeti, 105
find, 105
issu, 104
consid, 104
homicid, 103
reason, 103
it, 102
littl, 101
problem, 100
world, 99
better, 99
back, 98
murder, 98
last, 98
member, 97
got, 97
offic, 97
put, 96
she, 95
let, 95
tell, 95
burn, 95
shoot, 95
someth, 94
assault, 93
sinc, 92
author, 92
group, 92
hous, 91
david, 91
tank, 91
unit, 90
read, 90
militari, 89
cop, 89
effect, 89
anoth, 88
might, 88
sever, 88
show, 88
anyon, 87
sure, 87
citizen, 86
great, 86
part, 86
off, 85
call, 85
licens, 83
ban, 82
children, 82
includ, 81
less, 81
shall, 81
certain, 81
clinton, 81
bear, 80
ask, 79
pay, 78
wait, 78
buy, 78
allow, 77
els, 77
constitut, 77
both, 77
gas, 77
place, 76
probabl, 76
give, 76
citi, 76
through, 75
around, 75
shot, 75
general, 75
comput, 74
away, 74
alway, 74
heard, 73
stand, 73
possibl, 73
koresh, 73
enough, 73
news, 73
provid, 72
respons, 72
act, 72
him, 72
individu, 72
opinion, 71
die, 71
run, 71
compound, 71
texa, 71
legal, 71
talk, 71
work, 70
hand, 70
total, 69
write, 69
clear, 69
danger, 69
almost, 69
pleas, 69
between, 68
least, 68
inform, 68
caus, 68
her, 68
long, 67
regul, 67
fact, 67
everyon, 67
kratz, 66
express, 66
situat, 66
order, 66
nra, 66
actual, 66
forc, 66
each, 66
set, 65
anyth, 65
found, 65
follow, 65
ever, 64
senat, 64
file, 64
action, 64
defens, 63
lot, 63
nor, 62
build, 62
possess, 62
whether, 62
agent, 61
violent, 61
suppos, 61
major, 61
abl, 61
prohibit, 61
countri, 61
vote, 60
card, 60
continu, 60
enforc, 60
revolv, 60
gang, 59
april, 59
press, 59
import, 59
understand, 59
illeg, 59
studi, 59
dividian, 59
real, 58
alreadi, 58
special, 58
check, 58
given, 57
section, 57
feel, 57
organ, 57
divis, 56
tear, 56
car, 56
repres, 56
today, 56
until, 56
liberti, 56
interest, 55
defend, 55
court, 55
old, 55
done, 55
figur, 55
noth, 54
proper, 54
hear, 54
stop, 54
prevent, 54
letter, 54
thank, 54
mayb, 53
attack, 53
train, 53
power, 53
either, 53
serious, 53
civil, 53
bad, 52
chanc, 52
hope, 52
help, 52
commit, 52
seen, 52
argument, 52
relat, 52
refer, 52
servic, 52
hard, 52
result, 51
next, 51
local, 51
high, 51
weaver, 51
chang, 51
polit, 51
dure, 51
rather, 51
themselv, 51
conceal, 50
evid, 50
educ, 50
mention, 50
glock, 50
speak, 50
outsid, 49
whole, 49
free, 49
purchas, 49
involv, 49
argu, 49
end, 49
larg, 49
stove, 49
war, 49
home, 49
scienc, 48
cours, 48
simpli, 48
center, 48
limit, 48
pass, 48
jason, 48
discuss, 47
institut, 47
blast, 47
insid, 47
thought, 47
compar, 47
system, 47
best, 47
rkba, 47
knife, 47
assum, 47
agre, 47
form, 46
media, 46
owner, 46
rememb, 46
human, 45
becom, 45
risk, 45
quit, 45
rifl, 45
stori, 45
restrict, 45
note, 45
violat, 45
depart, 45
unless, 45
tax, 44
access, 44
main, 44
shotgun, 44
dead, 44
common, 44
exact, 44
turn, 44
kind, 44
onc, 44
flame, 44
america, 44
present, 44
automat, 43
do, 43
matter, 43
averag, 43
life, 43
self, 43
hit, 43
san, 43
drug, 43
design, 43
lack, 43
pull, 43
per, 42
quot, 42
privat, 42
safe, 42
rule, 42
near, 42
applic, 42
complet, 42
thoma, 42
gone, 42
avail, 42
