Word, Frequency
the, 6492
and, 2684
that, 2238
you, 1347
not, 1030
for, 914
are, 863
have, 815
this, 798
with, 685
was, 631
they, 590
but, 561
what, 501
your, 483
who, 443
from, 441
all, 429
his, 415
one, 387
will, 383
would, 370
there, 365
christian, 345
can, 338
were, 332
about, 330
peopl, 315
articl, 314
their, 307
has, 293
say, 289
jesus, 281
other, 279
just, 249
which, 248
god, 247
know, 244
out, 243
think, 242
more, 235
moral, 229
some, 227
ani, 226
like, 220
when, 213
then, 201
onli, 200
use, 195
how, 188
believ, 184
doe, 184
even, 180
been, 180
them, 178
mean, 176
those, 175
becaus, 171
than, 171
may, 170
these, 168
good, 165
see, 165
had, 164
make, 159
mani, 155
such, 154
want, 153
whi, 151
did, 148
come, 146
be, 146
should, 145
veri, 144
most, 143
also, 142
take, 140
own, 136
bibl, 136
follow, 135
way, 134
after, 132
point, 131
univers, 130
seem, 130
word, 127
time, 126
love, 124
person, 121
get, 118
tri, 118
could, 117
thing, 115
into, 113
it, 111
object, 110
find, 109
differ, 109
life, 109
said, 106
where, 106
realli, 105
new, 104
world, 104
call, 104
our, 103
read, 102
him, 102
same, 101
consid, 99
order, 97
law, 97
quot, 97
much, 95
part, 95
live, 92
now, 91
state, 88
kill, 88
tell, 88
must, 87
two, 86
post, 86
children, 85
sinc, 85
look, 84
back, 84
never, 84
koresh, 84
still, 84
fact, 83
first, 81
reason, 79
question, 78
man, 78
pleas, 78
noth, 77
over, 76
accept, 76
give, 75
claim, 75
might, 74
someth, 74
let, 74
true, 74
biblic, 73
john, 73
mormon, 73
understand, 73
under, 72
go, 72
right, 72
against, 71
church, 70
without, 70
act, 69
ask, 69
scienc, 69
someon, 69
group, 69
belief, 68
christ, 68
anoth, 68
day, 68
well, 67
teach, 67
agre, 67
rather, 66
long, 65
show, 65
religion, 64
die, 64
befor, 64
refer, 64
interpret, 63
set, 63
cannot, 62
exist, 62
too, 62
evid, 62
public, 62
through, 61
homosexu, 61
faith, 61
made, 60
great, 59
possibl, 59
feel, 58
discuss, 58
both, 57
keep, 57
start, 57
case, 56
better, 56
while, 56
between, 56
work, 56
book, 55
greek, 55
author, 55
anyon, 55
system, 55
thought, 55
human, 55
sin, 55
valu, 54
religi, 54
far, 54
year, 54
everi, 54
few, 53
truth, 53
shall, 53
real, 53
place, 53
least, 53
until, 52
perhap, 52
answer, 52
mention, 52
quit, 51
origin, 51
juda, 51
sure, 50
actual, 50
explain, 50
respons, 50
need, 50
found, 50
david, 49
contradict, 49
matthew, 49
littl, 49
off, 49
probabl, 49
here, 49
command, 49
certain, 49
write, 49
yet, 48
interest, 48
chang, 48
becom, 48
subject, 47
messag, 47
support, 47
seen, 47
note, 47
present, 47
clear, 47
put, 47
includ, 47
name, 46
creat, 46
kind, 46
talk, 46
activ, 46
issu, 46
anyth, 46
list, 45
knowledg, 45
nor, 45
assum, 44
hard, 44
down, 44
himself, 44
each, 44
whether, 43
got, 43
bit, 43
last, 43
jew, 43
suppos, 43
lord, 43
old, 43
speak, 42
wrong, 42
usa, 42
matter, 42
light, 42
passag, 42
major, 42
death, 42
appear, 41
definit, 41
sever, 41
abov, 41
brian, 41
high, 41
repli, 41
argument, 41
simpli, 41
base, 41
specif, 41
scholar, 41
lds, 40
view, 40
thus, 40
organ, 40
holi, 40
ignor, 40
standard, 40
given, 40
care, 39
her, 39
open, 39
privat, 39
wonder, 39
do, 39
written, 39
help, 39
fire, 38
sourc, 38
number, 38
robert, 38
observ, 38
tyre, 38
deal, 38
context, 38
lot, 37
save, 37
came, 37
promis, 37
import, 37
posit, 37
sort, 37
told, 37
fbi, 37
either, 36
turn, 36
materi, 36
prove, 36
convinc, 36
around, 36
gay, 36
themselv, 36
stori, 36
mayb, 35
direct, 35
hope, 35
happen, 35
concern, 35
action, 35
everyon, 35
western, 35
hang, 35
ever, 35
jim, 35
sens, 35
apr, 35
member, 35
end, 35
jewish, 35
caus, 34
zoroastrian, 34
san, 34
accus, 34
comput, 34
popular, 34
accord, 34
term, 34
stop, 34
burn, 34
problem, 34
dure, 33
relat, 33
known, 33
studi, 33
hear, 33
inde, 33
address, 33
practic, 33
etern, 33
exampl, 33
pretti, 33
bad, 32
southern, 32
ancient, 32
suggest, 32
often, 32
opinion, 32
upon, 32
enjoy, 32
line, 32
blood, 32
whole, 32
cathol, 31
gas, 31
rosicrucian, 31
son, 31
she, 31
natur, 31
respect, 31
involv, 31
forc, 31
vers, 31
allow, 31
cult, 31
among, 31
magi, 31
whatev, 31
physic, 31
describ, 31
later, 31
sound, 30
alway, 30
innoc, 30
assert, 30
nazi, 30
appli, 30
though, 30
enough, 30
evil, 30
davidian, 30
child, 30
persecut, 29
learn, 29
alreadi, 29
father, 29
scriptur, 29
play, 29
master, 29
stand, 29
whose, 29
ksand, 29
worship, 29
provid, 29
heard, 29
regard, 29
previous, 28
second, 28
obvious, 28
reject, 28
salvat, 28
whom, 28
big, 28
basi, 28
individu, 28
conclus, 28
indic, 28
batf, 28
tradit, 28
theori, 28
mind, 27
result, 27
away, 27
fall, 27
seek, 27
hate, 27
red, 27
decid, 27
done, 27
complet, 27
three, 27
attempt, 27
continu, 27
forget, 27
larg, 27
almost, 27
wit, 27
societi, 27
bodi, 27
code, 27
muhammad, 27
myself, 26
lie, 26
form, 26
govern, 26
begin, 26
common, 26
taken, 26
run, 26
figur, 26
kingdom, 26
everyth, 26
gospel, 26
men, 26
cours, 26
histori, 26
admit, 26
again, 26
young, 26
onc, 25
tear, 25
hand, 25
modern, 25
various, 25
paul, 25
sometim, 25
statement, 25
citi, 25
peter, 25
guess, 25
bring, 25
friend, 25
suffer, 25
general, 24
center, 24
prophet, 24
usual, 24
today, 24
doubt, 24
weiss, 24
lack, 24
choos, 24
flame, 24
longer, 24
lead, 24
account, 24
impli, 24
intent, 24
especi, 23
offici, 23
mere, 23
purpos, 23
took, 23
best, 23
sex, 23
wish, 23
rememb, 23
exact, 23
therefor, 23
yourself, 23
similar, 23
argu, 23
defin, 23
islam, 23
fals, 23
els, 23
absolut, 23
kendig, 23
deni, 23
centuri, 23
text, 23
divin, 23
serv, 23
dead, 23
rest, 22
nice, 22
pay, 22
land, 22
build, 22
sexual, 22
money, 22
born, 22
saw, 22
access, 22
