Word, Frequency
the, 6929
that, 2865
and, 2526
you, 1656
not, 1418
are, 1246
have, 1175
for, 1149
this, 1068
but, 800
was, 697
they, 680
with, 655
what, 638
one, 574
your, 566
there, 553
can, 543
from, 507
about, 488
would, 486
peopl, 484
all, 448
who, 447
some, 433
articl, 420
god, 420
say, 420
will, 402
think, 398
has, 373
which, 364
ani, 339
more, 335
their, 330
other, 323
than, 320
his, 308
believ, 306
doe, 299
make, 298
like, 297
moral, 293
just, 292
islam, 280
then, 279
were, 277
atheist, 277
onli, 275
when, 275
how, 273
becaus, 261
been, 259
mani, 244
use, 239
be, 234
know, 232
out, 225
even, 225
whi, 221
such, 216
seem, 215
thing, 212
could, 212
univers, 209
must, 204
see, 204
christian, 204
mean, 196
should, 190
get, 187
those, 181
argument, 178
tri, 173
these, 171
someth, 170
claim, 169
most, 168
post, 166
religion, 164
take, 164
time, 162
reason, 162
read, 162
had, 160
way, 159
said, 159
evid, 159
them, 156
exist, 152
veri, 152
object, 151
into, 149
our, 149
also, 145
may, 145
human, 144
good, 143
system, 141
religi, 140
point, 138
person, 136
much, 135
come, 133
jesus, 132
it, 131
question, 131
atheism, 127
kill, 122
tell, 120
sinc, 119
did, 119
world, 116
bibl, 115
might, 115
over, 114
possibl, 114
certain, 114
realli, 113
cannot, 112
belief, 112
natur, 111
want, 111
same, 111
word, 109
consid, 108
state, 108
sure, 107
after, 107
find, 107
caus, 106
right, 106
differ, 106
where, 105
look, 105
book, 105
accept, 104
rather, 103
first, 102
someon, 101
without, 100
here, 99
noth, 99
fact, 99
statement, 98
show, 97
give, 97
need, 96
call, 96
logic, 96
made, 95
still, 94
muslim, 94
talk, 94
littl, 93
case, 93
befor, 93
law, 91
follow, 91
him, 90
part, 90
anoth, 90
general, 89
allan, 89
two, 88
true, 88
agre, 87
creat, 87
own, 87
against, 86
group, 86
never, 85
support, 84
thought, 84
whether, 84
therefor, 82
well, 82
everi, 81
new, 81
assum, 81
origin, 81
put, 80
refer, 80
understand, 80
better, 80
anyon, 80
long, 79
life, 79
base, 79
live, 78
ask, 77
rushdi, 77
allow, 77
explain, 76
view, 76
argu, 75
go, 75
actual, 75
defin, 75
free, 74
problem, 74
posit, 73
particular, 73
death, 73
under, 72
idea, 72
exampl, 72
quit, 71
simpli, 71
both, 71
anyth, 70
start, 70
requir, 70
answer, 70
whole, 69
rule, 69
few, 69
discuss, 68
now, 68
pleas, 68
women, 68
found, 67
california, 67
valu, 67
institut, 67
probabl, 67
given, 67
often, 67
clear, 66
perhap, 66
fallaci, 65
each, 65
punish, 65
day, 64
work, 64
societi, 64
off, 64
strong, 63
between, 63
act, 63
innoc, 63
sex, 62
matthew, 62
men, 62
obvious, 62
feel, 60
yet, 60
murder, 59
suppos, 59
too, 59
least, 59
sens, 59
around, 58
onc, 58
pasadena, 57
becom, 57
prove, 57
john, 57
conclus, 57
quot, 57
die, 56
far, 56
either, 56
while, 56
anim, 56
back, 55
scienc, 55
war, 55
keep, 55
interpret, 55
chang, 55
set, 55
order, 55
opinion, 55
great, 55
year, 55
faith, 55
includ, 55
definit, 55
event, 54
motto, 54
mozumd, 54
name, 54
matter, 54
alway, 53
speak, 53
known, 53
ignor, 53
write, 53
help, 52
do, 52
real, 52
man, 52
interest, 51
physic, 51
form, 51
author, 51
let, 51
sort, 51
mention, 51
hard, 51
abov, 50
apr, 50
ever, 50
upon, 50
number, 50
everyon, 50
contradict, 50
through, 50
entir, 49
issu, 49
hope, 49
less, 49
abl, 49
present, 48
theist, 48
valid, 48
care, 48
impli, 48
commit, 48
appli, 47
accord, 47
got, 46
respons, 46
decid, 46
note, 46
bad, 46
seen, 46
text, 46
provid, 46
comput, 46
absolut, 45
attempt, 45
action, 45
vers, 45
end, 45
perfect, 45
fall, 45
major, 44
almost, 44
doubt, 44
love, 44
satan, 44
american, 44
everyth, 44
direct, 44
social, 43
she, 43
enough, 43
happen, 43
homosexu, 43
wrong, 43
similar, 43
describ, 43
nation, 42
hear, 42
western, 42
list, 42
usual, 41
exact, 41
lack, 41
leav, 41
bobbi, 41
relat, 40
result, 40
effect, 40
assert, 40
evil, 40
purpos, 40
countri, 40
lot, 40
done, 39
basic, 39
teach, 39
old, 39
wish, 39
mathew, 38
best, 38
consequ, 38
hold, 38
cours, 38
term, 38
histori, 38
truth, 37
basi, 37
along, 37
germani, 37
mayb, 37
pretti, 37
down, 37
complet, 36
knowledg, 36
premis, 36
behavior, 36
judg, 36
rest, 36
last, 36
among, 36
version, 36
news, 35
fit, 35
sound, 35
further, 35
propheci, 35
send, 35
member, 34
observ, 34
convinc, 34
forc, 34
line, 34
close, 34
occur, 34
wonder, 34
scientif, 34
jew, 34
penalti, 33
peac, 33
fals, 33
written, 33
stori, 33
learn, 33
technic, 33
sgi, 33
import, 33
assumpt, 33
respond, 33
lie, 33
bit, 33
necessarili, 33
earth, 32
reject, 32
jewish, 32
david, 32
though, 32
subject, 32
admit, 32
gmt, 32
fair, 32
gospel, 32
genocid, 32
appear, 32
concern, 32
power, 32
three, 31
expect, 31
turn, 31
nor, 31
her, 31
attack, 31
speci, 31
level, 31
contain, 31
correct, 31
common, 31
heard, 31
beyond, 31
omnisci, 30
passag, 30
public, 30
stop, 30
freedom, 30
evolut, 30
lead, 30
determin, 30
suffer, 30
practic, 30
prophet, 30
goal, 30
choic, 30
guess, 29
especi, 29
copi, 29
koresh, 29
total, 29
translat, 29
concept, 29
place, 29
poor, 29
court, 29
sever, 29
outsid, 29
fulfil, 29
tin, 29
philosoph, 29
activ, 29
wors, 29
messag, 29
tend, 29
within, 29
polit, 28
involv, 28
jim, 28
govern, 28
again, 28
file, 28
situat, 28
church, 28
respect, 28
until, 28
although, 28
themselv, 28
save, 28
east, 28
due, 28
depart, 28
standard, 27
king, 27
languag, 27
choos, 27
big, 27
mind, 27
theolog, 27
mere, 27
faq, 27
els, 27
execut, 27
walla, 26
suggest, 26
surviv, 26
happi, 26
unless, 26
organ, 26
next, 26
legal, 26
alreadi, 26
children, 26
imagin, 26
bomb, 26
civilian, 26
serious, 26
open, 26
quran, 26
crimin, 26
neither, 26
inde, 26
altern, 26
away, 26
left, 26
regard, 25
capit, 25
fail, 25
decis, 25
theori, 25
rais, 25
mark, 25
typic, 25
liar, 25
