Word, Frequency
the, 4982
and, 1938
for, 1070
that, 1041
you, 1009
with, 627
have, 602
was, 581
this, 544
bike, 463
but, 453
are, 452
articl, 444
not, 422
your, 348
about, 344
like, 338
get, 331
one, 329
ride, 318
from, 317
what, 313
they, 308
can, 301
dod, 291
ani, 282
just, 272
would, 272
there, 264
all, 257
out, 251
when, 235
will, 228
had, 213
how, 207
know, 200
some, 197
motorcycl, 190
than, 188
make, 187
more, 186
use, 183
has, 180
other, 179
onli, 173
who, 167
new, 165
think, 162
univers, 161
look, 157
good, 149
take, 148
bmw, 139
should, 138
want, 138
off, 137
dog, 133
need, 131
veri, 130
back, 128
which, 126
time, 126
got, 125
been, 125
right, 123
over, 123
helmet, 122
two, 121
even, 121
tri, 118
were, 118
his, 117
much, 117
work, 116
may, 116
go, 111
could, 107
first, 105
thing, 104
into, 104
their, 104
post, 104
then, 103
them, 102
it, 102
most, 102
too, 102
rider, 102
peopl, 101
say, 99
front, 98
down, 98
realli, 97
state, 97
put, 95
whi, 95
anyon, 94
still, 94
buy, 94
also, 93
seem, 92
littl, 91
now, 91
after, 90
doe, 90
where, 90
way, 89
same, 87
while, 87
those, 87
last, 86
pleas, 85
keep, 85
see, 83
world, 82
someth, 82
did, 81
usa, 81
turn, 80
run, 80
never, 79
year, 78
few, 76
be, 76
drink, 73
becaus, 72
start, 71
around, 71
someon, 70
insur, 70
comput, 69
live, 69
next, 68
give, 68
question, 65
come, 65
well, 65
him, 65
advic, 64
call, 64
end, 64
honda, 63
car, 63
system, 63
own, 62
enough, 62
sure, 62
anyth, 62
engin, 61
list, 61
differ, 61
mani, 60
head, 60
such, 60
befor, 59
side, 59
drive, 59
mean, 58
least, 58
left, 58
better, 57
big, 57
road, 56
mile, 56
lock, 56
fit, 56
might, 56
read, 56
hard, 55
find, 55
made, 55
without, 55
these, 55
help, 54
her, 54
anoth, 54
through, 53
harley, 53
apr, 53
probabl, 52
speed, 51
problem, 51
must, 51
sinc, 51
handl, 51
noth, 50
lot, 50
old, 50
pull, 50
tire, 50
yamaha, 49
mail, 49
thought, 49
cost, 49
long, 48
carri, 48
tell, 48
here, 48
friend, 48
less, 47
tin, 47
far, 47
wear, 47
name, 47
great, 47
ask, 46
heard, 46
guy, 46
rear, 46
recommend, 46
ama, 46
best, 45
feel, 45
steer, 45
reason, 45
bit, 45
let, 45
each, 45
stop, 45
chang, 45
bad, 45
opinion, 44
mayb, 44
went, 43
flame, 43
interest, 43
park, 43
face, 42
coupl, 42
counterst, 42
rather, 42
fair, 42
until, 42
quit, 42
group, 41
thank, 41
pay, 41
traffic, 41
protect, 40
wave, 40
part, 40
black, 40
second, 40
light, 40
case, 40
contact, 40
show, 40
red, 39
between, 39
canada, 39
possibl, 39
usual, 39
previous, 39
san, 39
jacket, 39
biker, 39
effect, 39
everi, 38
move, 38
batteri, 38
oil, 38
both, 38
larg, 37
seen, 37
gmt, 37
real, 37
hit, 37
thread, 37
saw, 37
found, 37
rais, 37
cours, 37
size, 37
point, 37
happen, 36
suggest, 36
day, 36
money, 36
kind, 36
sound, 36
pass, 36
public, 35
type, 35
place, 35
nec, 35
week, 35
send, 35
nice, 35
actual, 35
relat, 35
under, 34
behind, 34
replac, 34
care, 34
hand, 34
our, 34
area, 34
alway, 34
stuff, 34
cop, 33
denizen, 33
experi, 33
low, 33
notic, 33
she, 33
current, 33
said, 33
bar, 33
guess, 33
push, 33
goe, 33
member, 32
ever, 32
top, 32
moa, 32
wonder, 32
general, 32
compani, 32
design, 32
piec, 32
nick, 32
corpor, 32
ducati, 31
agre, 31
shop, 31
local, 31
colleg, 31
consid, 31
pretti, 31
high, 31
sale, 31
power, 31
fast, 31
request, 31
learn, 31
gear, 31
messag, 31
check, 30
origin, 30
cover, 30
took, 30
away, 30
sever, 30
hawk, 30
unless, 30
els, 30
sell, 30
ship, 30
seat, 29
research, 29
sort, 29
perform, 29
plastic, 29
meet, 29
damag, 29
owner, 29
love, 29
california, 29
bodi, 29
number, 29
follow, 29
eat, 28
green, 28
exhaust, 28
idea, 28
note, 28
sun, 28
person, 28
gas, 28
full, 28
leav, 27
leather, 27
mike, 27
small, 27
ladi, 27
driver, 27
lean, 27
wheel, 27
feet, 27
certain, 27
alreadi, 27
tank, 27
onc, 27
passeng, 27
told, 26
pressur, 26
law, 26
sutherland, 26
organ, 26
virginia, 26
horn, 26
paint, 26
scienc, 26
air, 26
near, 26
wide, 26
jerk, 26
hole, 26
cut, 26
avail, 26
easi, 26
whole, 26
cabl, 25
talk, 25
club, 25
prefer, 25
price, 25
bought, 25
mind, 25
line, 25
fact, 25
cage, 25
frame, 25
dave, 25
email, 25
within, 25
standard, 24
abl, 24
carb, 24
everyth, 24
david, 24
stand, 24
street, 24
abov, 24
close, 24
offic, 24
though, 24
life, 24
includ, 24
night, 24
impact, 24
weight, 24
togeth, 23
serious, 23
sold, 23
rule, 23
worri, 23
pick, 23
view, 23
chris, 23
communic, 23
pixel, 23
bnr, 23
lane, 23
similar, 23
set, 23
train, 23
drunk, 23
mention, 23
level, 23
pack, 22
three, 22
assum, 22
against, 22
afford, 22
seca, 22
home, 22
caus, 22
kawasaki, 22
babi, 22
project, 22
internet, 22
requir, 22
rode, 22
behanna, 22
corner, 22
manag, 22
softwar, 22
yet, 22
ticket, 22
slight, 22
squid, 22
splitfir, 21
forc, 21
word, 21
mirror, 21
stupid, 21
hope, 21
perhap, 21
cross, 21
bill, 21
wild, 21
limit, 21
almost, 21
brake, 21
exact, 21
evan, 21
cylind, 21
annual, 21
via, 21
purchas, 21
rememb, 21
either, 21
fall, 21
discuss, 21
watch, 21
access, 21
import, 20
taken, 20
stick, 20
miss, 20
kill, 20
fxwg, 20
cat, 20
file, 20
mark, 20
form, 20
stock, 20
decid, 20
drop, 20
shoei, 20
model, 20
