Word, Frequency
the, 7883
and, 2340
for, 1335
that, 1306
was, 996
have, 854
you, 778
but, 695
team, 689
with, 677
will, 656
are, 648
they, 635
this, 621
game, 585
play, 554
not, 540
hockey, 487
from, 453
would, 419
his, 415
has, 404
player, 382
get, 368
who, 352
all, 335
univers, 322
one, 316
what, 310
nhl, 305
think, 304
can, 300
articl, 297
like, 296
out, 290
their, 286
had, 281
new, 279
win, 276
when, 275
just, 255
first, 254
about, 252
been, 246
more, 231
there, 226
playoff, 225
good, 222
year, 215
your, 212
were, 207
than, 206
last, 206
goal, 203
onli, 196
leaf, 196
time, 195
score, 193
how, 190
ani, 189
point, 187
make, 187
see, 187
after, 185
some, 183
other, 182
him, 180
leagu, 177
two, 175
season, 173
over, 171
even, 167
period, 166
power, 164
know, 164
divis, 162
next, 162
should, 161
wing, 159
did, 158
shot, 155
cup, 153
take, 152
pick, 151
look, 151
becaus, 151
toronto, 149
flyer, 148
second, 143
peopl, 143
back, 142
into, 141
got, 139
best, 139
veri, 137
against, 137
them, 134
then, 134
canada, 133
most, 132
go, 131
name, 130
could, 130
april, 128
better, 127
mani, 126
puck, 123
pts, 122
too, 122
trade, 122
say, 121
great, 119
stanley, 119
blue, 118
off, 118
ranger, 117
give, 117
also, 115
final, 115
right, 115
watch, 114
fan, 114
made, 114
pittsburgh, 111
much, 111
king, 110
come, 110
chi, 109
ice, 109
which, 109
sinc, 108
same, 107
penalti, 106
doe, 106
way, 106
may, 106
put, 106
draft, 105
coach, 105
these, 105
start, 104
bos, 103
flame, 103
realli, 103
want, 102
defens, 102
san, 102
tie, 100
those, 100
never, 100
jet, 99
befor, 98
detroit, 98
show, 97
world, 97
mike, 97
still, 97
european, 96
scorer, 96
captain, 95
said, 95
need, 95
anoth, 95
guy, 95
det, 94
van, 94
where, 94
littl, 93
number, 92
tor, 91
boston, 91
cal, 89
post, 89
pen, 89
espn, 89
now, 88
canadian, 87
montreal, 87
penguin, 86
pit, 86
state, 86
comput, 86
well, 85
be, 85
red, 85
calgari, 84
here, 84
while, 83
let, 83
each, 83
winnipeg, 83
call, 83
end, 82
shark, 82
down, 82
dure, 81
bob, 81
devil, 80
island, 80
own, 80
whi, 79
probabl, 79
third, 79
chicago, 79
north, 79
move, 78
stat, 78
beat, 78
bad, 78
