Word, Frequency
the, 11217
and, 4316
that, 2499
for, 2008
this, 1560
are, 1319
you, 1178
with, 1178
have, 1084
not, 1079
will, 1079
use, 1059
key, 1027
they, 916
can, 893
encrypt, 891
from, 727
what, 719
would, 688
but, 683
your, 654
has, 566
chip, 559
other, 548
one, 544
about, 542
some, 530
secur, 512
ani, 496
all, 494
clipper, 488
govern, 464
which, 463
how, 452
system, 452
was, 444
there, 436
who, 428
get, 395
more, 387
like, 386
peopl, 377
their, 366
onli, 365
articl, 363
just, 362
public, 351
been, 338
than, 332
could, 331
anonym, 321
make, 320
comput, 316
law, 312
may, 312
inform, 307
know, 302
need, 301
even, 298
out, 284
new, 284
when, 278
two, 276
right, 274
such, 273
algorithm, 272
escrow, 266
then, 261
messag, 261
privaci, 259
good, 258
also, 254
post, 245
should, 244
data, 244
bit, 241
technolog, 241
these, 240
most, 239
phone, 237
number, 232
doe, 231
think, 227
protect, 226
univers, 224
want, 221
crypto, 220
into, 220
communic, 216
them, 216
avail, 216
provid, 215
access, 214
our, 214
nsa, 208
say, 208
it, 204
call, 204
mani, 202
part, 202
file, 198
code, 195
enforc, 187
those, 185
whi, 185
veri, 182
take, 182
des, 180
time, 179
secret, 179
administr, 179
work, 179
mean, 172
agenc, 172
be, 171
first, 170
becaus, 169
find, 167
see, 163
way, 163
thing, 163
program, 163
standard, 163
sinc, 162
were, 161
wiretap, 160
mail, 159
pgp, 158
privat, 158
propos, 158
person, 155
much, 155
user, 153
devic, 153
state, 151
read, 150
seem, 150
possibl, 149
run, 149
over, 149
give, 146
includ, 145
tri, 145
without, 145
strong, 144
probabl, 143
clinton, 141
keep, 139
everi, 138
under, 138
onc, 137
had, 137
mov, 137
sure, 137
must, 136
same, 134
each, 134
come, 134
might, 133
electron, 130
servic, 130
now, 130
develop, 129
look, 129
internet, 129
author, 128
own, 127
where, 127
hous, 125
reason, 125
general, 124
issu, 124
group, 121
network, 121
realli, 121
cryptographi, 120
ask, 120
announc, 120
question, 119
trust, 119
go, 119
block, 119
his, 119
effect, 117
serial, 116
while, 116
allow, 116
note, 115
random, 115
point, 115
list, 114
anyon, 114
befor, 113
nation, 113
between, 112
still, 111
court, 111
white, 110
fact, 109
believ, 109
decrypt, 108
someth, 108
american, 108
compani, 108
interest, 107
sourc, 107
legal, 107
ripem, 106
through, 105
start, 102
year, 102
long, 101
someon, 101
let, 101
idea, 101
order, 100
against, 99
design, 99
rsa, 99
second, 98
after, 98
current, 98
ftp, 98
send, 98
drug, 97
real, 97
polici, 97
digit, 96
technic, 96
both, 96
care, 95
requir, 95
unit, 95
case, 95
tell, 94
cipher, 94
softwar, 93
sever, 93
big, 92
product, 92
rather, 92
contain, 92
help, 91
discuss, 91
text, 90
corpor, 90
produc, 90
few, 90
consid, 90
generat, 90
email, 89
here, 89
actual, 89
anoth, 89
attack, 88
address, 88
certain, 87
voic, 87
abl, 87
littl, 87
distribut, 87
implement, 86
put, 86
too, 86
differ, 86
relat, 85
feder, 84
chang, 84
polic, 84
machin, 84
high, 84
well, 83
made, 83
follow, 83
amend, 83
given, 82
via, 82
scheme, 82
alreadi, 81
name, 81
crimin, 81
cryptograph, 80
detail, 79
enough, 79
control, 79
back, 79
refer, 79
approach, 77
support, 77
usa, 76
world, 75
assum, 75
suppos, 75
break, 75
anyth, 75
lot, 75
request, 74
export, 74
pleas, 74
prevent, 74
version, 73
happen, 73
convers, 73
oper, 72
constitut, 72
releas, 72
talk, 72
known, 72
research, 71
ensur, 71
becom, 71
suggest, 71
site, 71
problem, 71
better, 71
least, 71
buy, 70
method, 70
tap, 70
clear, 70
faq, 69
obtain, 69
restrict, 69
far, 69
do, 68
presid, 68
commerci, 68
telephon, 68
less, 68
base, 68
end, 68
manufactur, 68
larg, 68
whether, 68
engin, 68
limit, 67
individu, 67
place, 67
bill, 66
test, 66
did, 66
cellular, 66
easi, 65
industri, 65
function, 65
last, 65
local, 65
countri, 65
noth, 64
off, 64
institut, 64
listen, 64
cheap, 63
newsgroup, 63
import, 63
power, 62
server, 62
mayb, 62
initi, 62
involv, 61
polit, 61
particular, 61
complet, 61
receiv, 61
search, 61
classifi, 61
fbi, 61
expect, 61
independ, 61
hard, 61
scienc, 61
organ, 61
session, 60
depart, 60
perhap, 60
accept, 60
origin, 59
associ, 59
transmit, 59
record, 59
line, 59
busi, 59
agent, 58
disk, 58
direct, 58
exist, 57
build, 57
unless, 57
whole, 57
free, 57
set, 57
addit, 56
open, 56
either, 56
apr, 56
cannot, 56
concern, 56
warrant, 56
respons, 56
byte, 56
copi, 55
guess, 55
valu, 55
hardwar, 55
document, 55
similar, 55
yet, 54
citizen, 54
eff, 54
hamburg, 54
unix, 54
type, 54
turn, 54
archiv, 53
present, 53
patent, 53
cryptosystem, 53
written, 53
full, 53
entir, 53
never, 52
usenet, 52
intercon, 52
licens, 52
bear, 52
basic, 51
down, 51
ever, 51
news, 51
alway, 51
gmt, 51
cover, 51
establish, 51
compress, 51
answer, 51
simpli, 50
forc, 50
quit, 50
offici, 50
feel, 50
password, 50
expert, 50
simpl, 50
easili, 50
per, 49
cost, 49
traffic, 49
connect, 49
tool, 49
got, 49
serious, 49
legitim, 49
her, 49
write, 49
step, 48
stop, 48
describ, 48
plan, 48
pretti, 48
matter, 48
obvious, 48
screw, 48
great, 48
hope, 48
account, 47
regard, 47
paper, 47
said, 47
protocol, 47
singl, 47
abus, 47
market, 47
three, 46
express, 46
illeg, 46
freedom, 46
wish, 46
common, 46
suspect, 46
exampl, 46
depend, 46
subject, 45
form, 45
opinion, 45
correct, 45
kind, 45
thought, 45
sort, 45
attorney, 45
thus, 45
ciphertext, 45
taken, 45
result, 44
claim, 44
carri, 44
sound, 44
abil, 44
content, 44
report, 44
creat, 43
major, 43
guarante, 43
bad, 43
manag, 43
ident, 43
regist, 43
attempt, 43
push, 43
fed, 43
els, 43
speech, 43
ten, 43
except, 43
david, 43
sell, 43
million, 43
separ, 42
imagin, 42
shall, 42
understand, 42
civil, 42
doubt, 42
specif, 42
done, 42
mathemat, 42
intend, 42
agre, 42
congress, 42
abov, 41
telecommun, 41
word, 41
though, 41
away, 41
futur, 41
plaintext, 41
den, 41
applic, 41
sent, 41
john, 41
potenti, 40
mention, 40
view, 40
publish, 40
check, 40
process, 40
directori, 40
decid, 40
conduct, 40
stuff, 40
kept, 40
finger, 40
perform, 40
almost, 39
reveal, 39
heard, 39
old, 39
longer, 39
replac, 39
argu, 39
nobodi, 39
crime, 39
around, 39
total, 39
sign, 39
appear, 38
compromis, 38
live, 38
exact, 38
econom, 38
until, 38
sens, 38
begin, 38
act, 38
fight, 38
day, 38
comment, 38
dorothi, 37
field, 37
statement, 37
virus, 37
arm, 37
increas, 37
intercept, 37
brother, 37
various, 37
determin, 37
true, 37
told, 37
found, 37
box, 37
academ, 37
decis, 36
behind, 36
repres, 36
choos, 36
packag, 36
respect, 36
hand, 36
within, 36
seen, 36
microcircuit, 36
friend, 36
approv, 36
previous, 36
best, 36
instead, 36
special, 35
identifi, 35
error, 35
execut, 35
exchang, 35
intern, 35
especi, 35
pass, 35
net, 35
outsid, 35
remain, 35
commit, 35
improv, 35
fast, 34
purpos, 34
sector, 34
press, 34
next, 34
book, 34
instal, 34
whatev, 34
hold, 34
monitor, 34
learn, 34
add, 34
review, 34
equip, 34
appli, 34
appropri, 34
correspond, 34
somebodi, 34
media, 33
today, 33
him, 33
indic, 33
evid, 33
tempest, 33
stream, 33
grant, 33
tin, 33
mechan, 33
multipl, 33
bell, 33
prove, 33
hide, 33
miss, 33
threaten, 33
assur, 33
door, 33
worth, 32
advanc, 32
fix, 32
normal, 32
wide, 32
mykotronx, 32
letter, 32
month, 32
onlin, 32
weak, 32
wonder, 32
member, 32
worri, 32
liberti, 32
comprehens, 32
offic, 32
decod, 32
difficult, 32
cryptolog, 32
measur, 32
altern, 31
necessari, 31
object, 31
store, 31
continu, 31
figur, 31
justic, 31
prohibit, 31
further, 31
inc, 31
germani, 31
social, 31
hash, 31
pop, 31
play, 31
histori, 31
rememb, 31
yourself, 31
imposs, 31
she, 31
marc, 30
util, 30
hacker, 30
steve, 30
skipjack, 30
capabl, 30
everyon, 30
proper, 30
authent, 30
main, 30
infrastructur, 30
assess, 30
modem, 29
remail, 29
enhanc, 29
anybodi, 29
fund, 29
rate, 29
otherwis, 29
ibm, 29
itself, 29
solut, 29
thread, 29
balanc, 29
mode, 29
analysi, 29
whose, 29
money, 29
gain, 29
nor, 29
committe, 29
theori, 29
cours, 29
output, 29
fifth, 29
pay, 28
amount, 28
posit, 28
crippl, 28
safeti, 28
upon, 28
charg, 28
happi, 28
registr, 28
xor, 28
easier, 28
foreign, 28
although, 28
small, 28
defend, 27
situat, 27
rule, 27
term, 27
quick, 27
section, 27
crack, 27
seed, 27
return, 27
bunch, 27
resist, 27
san, 27
walker, 27
confer, 27
show, 27
global, 27
cryptanalysi, 27
threat, 27
surveil, 27
detect, 27
meet, 27
defin, 27
kill, 27
offer, 27
bring, 27
share, 27
leav, 27
parti, 27
coupl, 27
preserv, 27
dure, 26
price, 26
spook, 26
factor, 26
handl, 26
avoid, 26
examin, 26
nice, 26
wors, 26
pair, 26
properti, 26
laissez, 26
unauthor, 26
intellig, 26
regular, 26
permit, 26
sternlight, 26
stupid, 26
profession, 26
activ, 26
along, 26
sometim, 26
valid, 26
frequent, 26
april, 26
earli, 26
judg, 25
expens, 25
techniqu, 25
violat, 25
interpret, 25
maintain, 25
lab, 25
english, 25
caus, 25
remot, 25
bush, 25
toward, 25
often, 25
keyseach, 25
shelf, 25
slight, 25
space, 25
human, 25
modern, 24
crypt, 24
expand, 24
qualiti, 24
collect, 24
notic, 24
argument, 24
revers, 24
close, 24
togeth, 24
somehow, 24
chanc, 24
anon, 24
automat, 24
appar, 24
signific, 24
unbreak, 24
precis, 23
drive, 23
sampl, 23
nist, 23
acquir, 23
wrong, 23
charact, 23
role, 23
pem, 23
evalu, 23
inet, 23
scrambl, 23
guy, 23
mit, 23
contact, 23
thousand, 23
