Word, Frequency
the, 15501
and, 6413
that, 3503
you, 2165
they, 2022
was, 2018
for, 1998
not, 1734
are, 1691
were, 1500
with, 1325
have, 1294
from, 1288
this, 1103
armenian, 1041
their, 1040
but, 947
there, 935
who, 912
all, 865
had, 815
what, 811
one, 810
peopl, 751
isra, 743
would, 693
turkish, 676
will, 661
about, 645
when, 639
your, 618
his, 608
has, 587
israel, 569
articl, 533
them, 518
been, 501
out, 496
which, 493
ani, 492
some, 487
jew, 465
can, 460
onli, 457
other, 457
like, 448
our, 445
know, 422
right, 418
then, 417
kill, 415
just, 409
becaus, 405
arab, 399
into, 375
it, 362
these, 360
those, 356
said, 356
how, 355
state, 353
more, 350
say, 350
even, 345
get, 344
could, 336
such, 335
think, 331
want, 330
she, 329
mani, 325
govern, 309
live, 306
did, 302
greek, 297
univers, 296
turk, 295
after, 293
also, 283
whi, 282
should, 281
time, 279
call, 277
world, 275
see, 274
attack, 269
way, 267
armenia, 266
first, 266
come, 265
two, 263
most, 256
than, 255
her, 253
make, 252
use, 252
tri, 251
work, 249
against, 248
where, 242
jewish, 239
year, 239
be, 237
human, 232
over, 232
muslim, 230
go, 229
start, 227
take, 223
polici, 218
doe, 214
him, 207
went, 205
give, 204
now, 201
still, 200
center, 200
dure, 200
same, 198
palestinian, 197
soldier, 196
tell, 188
fact, 186
under, 186
new, 186
turkey, 186
ask, 184
told, 183
seem, 182
veri, 182
war, 180
might, 179
came, 178
never, 176
villag, 176
down, 176
may, 172
while, 171
look, 168
part, 167
peac, 167
exist, 167
between, 165
talk, 162
genocid, 161
must, 160
question, 160
befor, 159
number, 159
nazi, 158
sinc, 158
back, 158
nation, 156
happen, 154
russian, 154
help, 153
forc, 153
last, 151
let, 150
name, 149
both, 146
well, 146
off, 146
post, 146
someth, 146
saw, 145
through, 145
thing, 144
serv, 144
person, 144
occupi, 144
land, 143
popul, 142
took, 142
polit, 140
own, 139
today, 139
report, 137
lebanes, 137
children, 137
close, 137
claim, 135
three, 134
realli, 134
soviet, 134
azeri, 133
azerbaijani, 133
put, 132
made, 132
anoth, 132
case, 131
million, 131
find, 131
read, 128
need, 128
research, 128
believ, 127
militari, 126
includ, 124
public, 124
group, 123
someon, 123
left, 122
problem, 122
murder, 122
whole, 122
day, 122
american, 121
here, 121
sure, 121
without, 119
escap, 118
stop, 118
point, 117
countri, 117
keep, 117
citi, 116
member, 116
ottoman, 116
much, 115
troop, 115
mean, 113
side, 113
massacr, 113
consid, 113
depart, 112
inform, 112
place, 111
got, 111
pass, 111
book, 110
hope, 109
territori, 108
everi, 108
heard, 107
singl, 106
mountain, 106
show, 106
intern, 105
civilian, 105
region, 104
mayb, 103
women, 103
return, 103
rememb, 103
reason, 102
thought, 101
feel, 101
road, 100
around, 100
unit, 100
support, 100
found, 100
longer, 100
least, 100
serdar, 99
burn, 99
near, 99
organ, 99
long, 96
argic, 96
arm, 96
armi, 96
fight, 96
leav, 95
until, 95
kind, 95
sever, 94
turn, 94
home, 94
head, 93
lebanon, 93
gaza, 93
answer, 93
few, 93
follow, 93
azerbaijan, 93
everyth, 93
law, 92
too, 92
histori, 92
border, 92
area, 92
good, 92
carri, 91
order, 91
open, 91
parti, 91
accept, 91
studi, 90
refer, 90
attempt, 90
explain, 90
noth, 90
anyth, 89
brought, 89
islam, 89
respons, 88
build, 88
allow, 88
interest, 87
end, 87
western, 87
polic, 87
terror, 87
old, 86
march, 86
opinion, 86
ten, 86
base, 86
town, 85
write, 85
true, 85
away, 85
act, 84
everyon, 84
offici, 84
clear, 84
differ, 84
continu, 83
son, 83
each, 83
death, 83
among, 83
bodi, 83
taken, 82
toward, 82
alreadi, 82
either, 81
secur, 81
later, 81
far, 81
agre, 81
plane, 81
publish, 80
bomb, 80
proceed, 80
small, 80
comput, 79
abl, 79
final, 79
alway, 79
hand, 79
action, 79
relat, 79
second, 78
power, 78
thousand, 77
die, 77
provid, 77
apr, 77
neighbor, 77
page, 76
apart, 76
dead, 76
gave, 76
destroy, 75
man, 74
appressian, 74
stay, 74
entir, 74
matter, 74
author, 74
young, 73
men, 73
suffer, 73
move, 73
father, 73
simpli, 73
propos, 72
hous, 72
solut, 72
melkonian, 72
situat, 72
histor, 72
beat, 72
certain, 72
receiv, 72
themselv, 71
freedom, 71
though, 71
face, 71
full, 71
enough, 71
famili, 71
general, 71
sumgait, 71
sent, 70
lie, 70
stand, 70
event, 70
statement, 70
german, 69
send, 69
cut, 69
accord, 69
given, 69
citizen, 69
onc, 68
view, 68
bad, 68
control, 68
system, 68
great, 68
conflict, 68
cannot, 68
posit, 67
deni, 67
news, 66
remain, 66
slaughter, 66
pleas, 66
again, 66
abov, 66
major, 66
york, 66
defend, 66
save, 66
adl, 65
document, 65
life, 65
better, 65
protect, 65
becom, 65
greec, 65
ignor, 65
commit, 65
behind, 64
do, 64
occup, 64
third, 64
west, 63
exact, 63
civil, 63
probabl, 63
offic, 63
sourc, 63
extermin, 63
holocaust, 62
local, 62
recogn, 62
whether, 62
real, 62
speak, 62
complet, 62
upon, 61
learn, 61
weapon, 61
foreign, 61
leader, 61
crowd, 61
understand, 61
decid, 61
realiz, 61
cyprus, 61
fire, 61
professor, 61
word, 60
door, 60
littl, 60
seen, 60
current, 60
christian, 59
terrorist, 59
involv, 59
lot, 59
guy, 59
inhabit, 59
demand, 59
european, 59
set, 59
hundr, 59
shot, 58
ethnic, 58
religi, 58
palestin, 58
mamma, 58
withdraw, 58
minor, 58
investig, 58
press, 57
fail, 57
eastern, 57
societi, 57
establish, 57
machin, 57
repeat, 57
shoot, 57
rather, 57
account, 57
within, 57
zionist, 57
larg, 57
often, 56
chang, 56
innoc, 56
almost, 56
prevent, 56
god, 56
possibl, 56
employ, 55
mind, 55
david, 55
cover, 55
discuss, 55
recent, 55
anyon, 55
communiti, 54
mention, 54
four, 54
quot, 54
friend, 54
wife, 54
import, 54
blood, 53
basic, 53
command, 53
april, 53
big, 53
quit, 53
deal, 53
knew, 53
search, 52
invad, 52
cours, 52
issu, 52
form, 52
letter, 52
independ, 52
hard, 52
evid, 52
prove, 52
file, 52
bullet, 52
mother, 51
direct, 51
treat, 51
jerusalem, 51
hear, 51
assum, 51
none, 51
violat, 50
wound, 50
minist, 50
lead, 50
daughter, 50
although, 50
rest, 50
plan, 50
translat, 50
care, 50
movement, 49
activ, 49
baku, 49
concern, 49
kurd, 49
free, 49
began, 49
born, 49
crime, 49
school, 49
sit, 49
creat, 48
wish, 48
subject, 48
shell, 48
perhap, 48
walk, 48
water, 48
line, 48
collabor, 48
former, 48
expect, 48
myself, 48
els, 48
appli, 47
done, 47
reach, 47
davidian, 47
repres, 47
caus, 47
next, 47
car, 47
prison, 47
woman, 47
messag, 47
list, 46
rule, 46
enter, 46
negoti, 46
syria, 46
particip, 46
guerilla, 46
yet, 46
whose, 46
gazan, 45
obvious, 45
figur, 45
bring, 45
refuge, 45
suggest, 45
purpos, 45
resist, 44
bayonet, 44
regard, 44
oper, 44
run, 44
month, 44
front, 44
