Word, Frequency
the, 10360
and, 3727
that, 3319
you, 1709
for, 1649
have, 1433
not, 1330
are, 1327
this, 1276
with, 1012
was, 998
they, 904
but, 798
would, 678
what, 669
about, 668
will, 637
from, 635
has, 613
all, 587
peopl, 560
articl, 544
more, 513
their, 511
who, 505
there, 484
think, 477
your, 433
been, 430
one, 416
some, 411
just, 410
can, 400
make, 399
out, 390
were, 387
ani, 382
get, 374
other, 373
than, 373
presid, 355
like, 352
govern, 343
when, 343
state, 340
which, 337
new, 333
had, 315
say, 309
know, 307
want, 303
go, 302
his, 302
how, 297
our, 291
work, 286
use, 281
whi, 269
becaus, 265
onli, 260
right, 249
these, 248
even, 244
should, 243
be, 238
them, 233
then, 227
tax, 227
american, 218
veri, 217
look, 217
doe, 216
time, 215
those, 213
univers, 213
now, 210
could, 209
mani, 207
did, 205
believ, 203
take, 202
way, 201
law, 200
job, 199
into, 190
see, 189
it, 185
health, 185
also, 185
much, 182
someth, 182
said, 181
most, 181
tri, 181
good, 180
such, 178
nation, 172
need, 170
support, 167
thing, 167
come, 161
over, 158
consid, 156
where, 156
same, 155
year, 154
drug, 153
mean, 151
last, 151
after, 151
here, 151
number, 149
may, 148
seem, 148
between, 145
sinc, 144
point, 144
polit, 143
made, 142
money, 140
insur, 140
give, 140
public, 140
through, 139
care, 138
gay, 138
still, 138
talk, 137
two, 136
pay, 135
privat, 134
white, 134
put, 131
first, 130
men, 129
call, 129
down, 128
group, 128
power, 126
senat, 126
differ, 125
free, 125
case, 124
back, 124
clinton, 123
provid, 123
program, 123
against, 122
start, 122
show, 122
own, 122
tell, 121
sure, 121
hous, 120
realli, 119
person, 119
question, 118
forc, 117
part, 116
homosexu, 114
kind, 114
ask, 113
reason, 113
unit, 112
lot, 110
world, 110
post, 110
continu, 110
sexual, 110
russian, 109
system, 108
interest, 107
feder, 106
under, 104
servic, 104
countri, 103
day, 103
fact, 102
usa, 102
issu, 102
problem, 101
administr, 101
offic, 101
might, 101
libertarian, 100
off, 100
never, 99
war, 99
studi, 98
him, 97
anyth, 97
certain, 97
well, 95
discuss, 95
without, 95
social, 93
got, 93
both, 93
while, 92
let, 92
major, 92
crime, 92
alreadi, 92
import, 91
parti, 91
general, 91
anoth, 90
econom, 90
creat, 90
educ, 90
south, 90
meet, 90
press, 90
find, 87
secretari, 87
base, 86
help, 86
legal, 86
befor, 86
school, 86
april, 86
less, 85
littl, 85
rule, 85
too, 85
live, 84
fund, 84
congress, 84
actual, 84
opinion, 83
plan, 83
keep, 82
relat, 82
hope, 82
must, 81
far, 81
few, 80
human, 79
packag, 79
bill, 79
whether, 79
republican, 78
thought, 78
next, 78
suggest, 78
chang, 77
report, 77
rate, 77
noth, 77
news, 76
long, 76
someon, 76
everi, 75
top, 75
cost, 75
argument, 74
do, 74
respons, 74
done, 73
specif, 73
inform, 73
enough, 72
secret, 72
anyon, 72
clear, 71
young, 70
idea, 70
feel, 69
militari, 69
billion, 68
includ, 68
move, 68
agre, 68
pass, 68
list, 67
protect, 67
hold, 66
stop, 66
sort, 66
possibl, 66
present, 66
constitut, 66
decis, 66
follow, 66
commit, 65
member, 65
order, 65
happen, 64
claim, 64
becom, 64
read, 64
act, 64
area, 63
probabl, 63
spend, 63
